data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_6,GPU_P1,4,14.981653,14.598852,-84301546.823,18.5872,
AA,unrooted,LG,tree_6,GPU_P1,5,14.846385,14.49012,-84301546.823,18.5872,
AA,unrooted,LG,tree_6,GPU_P1,6,14.954223,14.577001,-84301546.823,18.5872,
AA,unrooted,LG,tree_6,GPU_P1,7,14.957876,14.575196,-84301546.823,18.5872,
AA,unrooted,LG,tree_6,GPU_P1,8,14.995935,14.58662,-84301546.823,18.5872,
AA,unrooted,LG,tree_6,GPU_P1,9,14.956987,14.561929,-84301546.823,18.5872,
AA,unrooted,LG,tree_7,GPU_P1,10,18.192325,17.800013,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,1,18.047491,17.597764,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,2,18.082308,17.699574,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,3,18.27643,17.770796,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,4,18.108877,17.750375,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,5,18.137015,17.753233,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,6,18.102155,17.738707,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,7,18.191147,17.77228,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,8,18.502492,17.834879,-87134222.0487,19.7708,
AA,unrooted,LG,tree_7,GPU_P1,9,18.545451,17.819205,-87134222.0487,19.7708,
AA,unrooted,LG,tree_8,GPU_P1,10,15.117698,14.717989,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,1,14.936923,14.57048,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,2,14.86456,14.49294,-81931569.4926,18.2435,
