stage,kernel,data_type,exec_type,unique_name,lnl,wall_time_s,opt_time_s,test_case
aferprof7,nonrev,DNA,OPENACC,DNA_kernel-nonrev_100taxa_10000len,-564208.777,63.143,0.135,DNA NONREV | DNA_kernel-nonrev_100taxa_10000len
baseline,nonrev,DNA,OPENACC,DNA_kernel-nonrev_100taxa_10000len,-564208.777,62.116,0.133,DNA NONREV | DNA_kernel-nonrev_100taxa_10000len
baseline,nonrev,DNA,VANILA,DNA_kernel-nonrev_100taxa_10000len,-564208.777,403.48,0.429,DNA NONREV | DNA_kernel-nonrev_100taxa_10000len
opt2,nonrev,DNA,OPENACC,DNA_kernel-nonrev_100taxa_10000len,-564208.777,62.564,0.134,DNA NONREV | DNA_kernel-nonrev_100taxa_10000len
aferprof1,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,113.776,0.279,DNA REV | DNA_100taxa_10000len
aferprof2,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,114.573,0.283,DNA REV | DNA_100taxa_10000len
aferprof3,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,115.337,0.282,DNA REV | DNA_100taxa_10000len
aferprof4,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,112.795,0.272,DNA REV | DNA_100taxa_10000len
aferprof5,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,122.32,0.286,DNA REV | DNA_100taxa_10000len
aferprof6,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,114.485,0.281,DNA REV | DNA_100taxa_10000len
aferprof7,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,105.873,0.285,DNA REV | DNA_100taxa_10000len
baseline,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,111.996,0.271,DNA REV | DNA_100taxa_10000len
baseline,rev,DNA,VANILA,DNA_100taxa_10000len,-564208.776,431.73,0.453,DNA REV | DNA_100taxa_10000len
opt2,rev,DNA,OPENACC,DNA_100taxa_10000len,-564208.778,113.105,0.282,DNA REV | DNA_100taxa_10000len
