data_type,topology,model,tree,ll_VANILA,time_VANILA,uf_VANILA,rates_VANILA,ll_OPENACC,time_OPENACC,uf_OPENACC,rates_OPENACC,ll_diff
AA,rooted,LG+R4,tree_3,-55.1647,0.373366,0,"(0.2233,0.1628) (0.2399,0.8008) (0.2736,1.3218) (0.2632,1.5574)",-55.2072,0.0650461,0,"(0.2485,0.9997) (0.2415,0.9998) (0.2564,1.0002) (0.2536,1.0003)",0.042499999999996874
AA,rooted,LG+R4,tree_4,-50.9005,0.380628,0,"(0.2072,0.3506) (0.2515,0.9829) (0.2762,1.2171) (0.2651,1.2976)",-50.8853,0.0552881,0,"(0.2556,0.9998) (0.2572,0.9999) (0.2481,1.0001) (0.2392,1.0002)",0.015200000000000102
AA,rooted,LG+R4,tree_5,-46.2455,0.0369741,0,"(0.3030,0.1224) (0.2159,0.1403) (0.2704,0.1476) (0.2107,4.2361)",-47.1824,0.0599699,0,"(0.1937,0.6665) (0.1896,0.6665) (0.2114,0.7513) (0.4052,1.4452)",0.9369000000000014
AA,rooted,LG+R4,tree_6,-54.0278,0.246561,0,"(0.3617,0.1382) (0.3030,0.2092) (0.2116,0.2263) (0.1237,6.7817)",-55.5442,0.063087,0,"(0.1824,0.7195) (0.1877,0.7198) (0.2129,0.8060) (0.4170,1.3478)",1.5163999999999973
AA,rooted,LG+R4,tree_7,-35.4523,0.0212579,0,"(0.2460,0.2135) (0.2497,0.6502) (0.2526,1.1545) (0.2516,1.9611)",-35.4442,0.063333,0,"(0.2494,0.9998) (0.2499,0.9998) (0.2503,1.0000) (0.2504,1.0003)",0.008099999999998886
AA,rooted,LG+R4,tree_8,-40.5633,0.0251072,0,"(0.2321,0.4561) (0.2523,0.9137) (0.2616,1.1728) (0.2540,1.4046)",-40.5529,0.0625501,0,"(0.2497,0.9996) (0.2521,1.0000) (0.2471,1.0002) (0.2511,1.0002)",0.010399999999997078
AA,rooted,LG+R4,tree_9,-68.7165,0.53897,0,"(0.2779,0.9999) (0.1429,0.9999) (0.3304,1.0001) (0.2487,1.0001)",-68.7165,0.0716541,0,"(0.3139,0.9997) (0.2654,1.0000) (0.1730,1.0002) (0.2476,1.0003)",0.0
AA,unrooted,LG,tree_1,-39.1115,0.0368227,0,,-39.1115,0.0282152,0,,0.0
AA,unrooted,LG,tree_10,-26.8698,0.0426455,0,,-26.8698,0.016813,0,,0.0
AA,unrooted,LG,tree_2,-34.0114,0.0135898,0,,-34.0114,0.044122,0,,0.0
AA,unrooted,LG,tree_3,-42.58,0.0715834,0,,-42.58,0.0204251,0,,0.0
AA,unrooted,LG,tree_4,-33.1938,0.117593,0,,-33.1938,0.0189631,0,,0.0
AA,unrooted,LG,tree_5,-33.1292,0.048276,0,,-33.1292,0.111084,0,,0.0
AA,unrooted,LG,tree_6,-36.2758,0.018227,0,,-36.2758,0.197701,0,,0.0
AA,unrooted,LG,tree_7,-51.49,0.0101737,0,,-51.49,0.0393591,0,,0.0
AA,unrooted,LG,tree_8,-59.9108,0.0247782,0,,-59.9108,0.0185361,0,,0.0
AA,unrooted,LG,tree_9,-46.0654,0.0412049,0,,-46.0654,0.019979,0,,0.0
AA,unrooted,LG+C60,tree_1,-40.979,0.299292,0,,-89.5385,0.627443,0,,48.5595
AA,unrooted,LG+C60,tree_10,-34.678,0.358568,0,,-67.8917,0.610873,0,,33.2137
