sm,reps,pct,wall_s,mf_wall_s,ts_wall_s,cpu_J,gpu_J,total_J,mf_gpu_J,ts_gpu_J,mf_cpu_J,ts_cpu_J,gpu_W,cpu_W,measured_W,best_logL,gpu_mem_peak_MB,speedup,ts_speedup,efficiency,edp_Js,energy_Wh,gpu_Wh,cpu_Wh,mps_plateau
1,1,0.7576,11231.933,3238.327,7944.271,4104026.472,1643625.342,5747651.814,476067.107,1160191.715,1216797.64,2868853.07,146.33503796719583,365.3891518049475,146.39105963528831,-7541976.86,23816.75,1.0,1.0,1.0,18461089718.446087,1596.5699483333335,456.562595,1140.0073533333334,True
2,1,1.5152,11243.749,3239.427,7955.023,2919473.812,1669665.906,4589139.718,483400.21,1178774.509,834591.375,2071824.416,148.4972588769102,259.65305806808743,148.538729914331,-7541976.86,23816.75,0.9989491049649011,0.9986484011422719,0.49947455248245054,18773304360.921593,1274.761032777778,463.796085,810.9649477777778,True
4,1,3.0303,11221.583,3233.256,7939.222,3846574.431,1675271.665,5521846.096,485668.609,1182136.664,1214847.439,2613561.25,149.2901371401878,342.7835832965812,149.33649456497432,-7541976.86,23816.062,1.0009223297639915,1.0006359565206766,0.2502305824409979,18799200036.345695,1533.8461377777778,465.3532402777778,1068.4928975,True
8,1,6.0606,11257.563,3242.774,7965.545,4158939.903,1656166.856,5815106.759,479732.447,1169019.691,1216832.29,2923710.108,147.1159305082281,369.4351879709667,147.1598660152028,-7541976.86,23816.062,0.9977233083217034,0.9973292474024062,0.12471541354021293,18644402719.931927,1615.3074330555555,460.0463488888889,1155.2610841666667,True
16,1,12.1212,6697.864,1940.265,4727.35,2460070.353,1070827.698,3530898.051,312462.97,753419.766,617117.237,1830917.87,159.8759989751957,367.29177436269237,159.90637622394425,-7541976.86,23836.75,1.676942529737839,1.6804913958137222,0.10480890810861494,7172258288.637073,980.8050141666666,297.4521383333334,683.3528758333333,False
33,1,25.0,3228.506,948.276,2264.818,962566.022,668008.578,1630574.6,197718.065,467051.914,230681.405,727547.712,206.9095048917363,298.1459603915867,206.8548921648071,-7541976.86,23902.75,3.478987804266122,3.507686268830431,0.10542387285654915,2156669702.124468,452.9373888888889,185.55793833333334,267.37945055555554,False
66,1,50.0,1825.43,547.025,1268.888,529977.115,470558.784,1000535.899,141683.347,326495.125,178459.736,348049.986,257.77969245602407,290.3300126545526,257.62937506888574,-7541976.86,24032.75,6.153034079641509,6.260813405123226,0.09322778908547741,858972121.07712,277.9266386111111,130.71077333333332,147.21586527777777,False
132,1,100.0,1168.399,360.443,801.219,342103.894,374802.509,716906.4029999999,115058.958,257763.212,117538.471,222096.743,320.7829765345572,292.797147207418,320.3716675271038,-7541976.86,24274.75,9.613097067012212,9.915230417651102,0.0728264929319107,437918876.71309096,199.14066749999998,104.11180805555556,95.02885944444444,False
