sm,wall_s,mf_wall_s,ts_wall_s,gpu_J,cpu_J,measured_W,best_logL,speedup,ideal,efficiency,gpu_Wh,cpu_Wh,total_Wh
8,11238.707,3238.446,7951.01525,1661182.4422499998,3757253.6545,147.8565375324491,-7541976.86,1.0,1.0,1.0,461.4395672916666,1043.6815706944444,1505.121137986111
16,6697.864,1940.265,4727.35,1070827.698,2460070.353,159.90637622394425,-7541976.86,1.6779538969438617,2.0,0.8389769484719308,297.4521383333334,683.3528758333333,980.8050141666668
33,3228.506,948.276,2264.818,668008.578,962566.022,206.8548921648071,-7541976.86,3.481085988379765,4.125,0.8438996335466097,185.55793833333334,267.37945055555554,452.9373888888889
66,1825.43,547.025,1268.888,470558.784,529977.115,257.62937506888574,-7541976.86,6.156744986112861,8.25,0.7462721195288317,130.71077333333332,147.21586527777777,277.9266386111111
132,1168.399,360.443,801.219,374802.509,342103.894,320.3716675271038,-7541976.86,9.618894744004404,16.5,0.5829633178184487,104.11180805555556,95.02885944444444,199.1406675
