file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_10000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R1_100taxa_10000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,cudajolt_H200,LG+R1,COMPLETE,gadi-gpu-h200-0004.gadi.nci.org.au,181.27,0.0,-827775381.071,,,,,
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_10000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R3_100taxa_10000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,cudajolt_H200,LG+R3,COMPLETE,gadi-gpu-h200-0004.gadi.nci.org.au,12483.838,0.001,-783405092.745,,,,,
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_10000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R4_100taxa_10000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,cudajolt_H200,LG+R4,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,6392.56,0.0,-782587988.958,,,,,
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_10000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG_100taxa_10000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,cudajolt_H200,LG,COMPLETE,gadi-gpu-h200-0008.gadi.nci.org.au,182.163,0.0,-827775381.071,,,,,
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-G4_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+G4,COMPLETE,gadi-gpu-h200-0027.gadi.nci.org.au,234.146,0.007,-782587989.192,84093.986,112842.794,108580.688,107706.0,24262.465
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+G4,COMPLETE,gadi-gpu-h200-0003.gadi.nci.org.au,45867.118,0.005,-782587989.206,13439494.476,23519585.846,108580.688,107706.0,24262.477
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-R2_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+R2,COMPLETE,gadi-gpu-h200-0006.gadi.nci.org.au,485.644,0.004,-790171808.176,145205.506,220823.491,123218.688,122344.0,24404.242
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-R3_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+R3,COMPLETE,gadi-gpu-h200-0005.gadi.nci.org.au,567.072,0.005,-783373117.155,229654.674,271693.154,125406.688,124532.0,24404.391
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-R4_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+R4,COMPLETE,gadi-gpu-h200-0026.gadi.nci.org.au,5556.934,0.008,-782588019.921,1372585.853,2669669.074,125446.688,124572.0,24404.551
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-R5_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+R5,COMPLETE,gadi-gpu-h200-0018.gadi.nci.org.au,5612.338,0.005,-782588252.922,1731205.533,2893122.91,129770.688,128896.0,24404.227
