datatype,length,baseline_openacc_wall_s,t1_clang_vanila_wall_s,t1_openacc_wall_s,baseline_openacc_logL,t1_clang_vanila_logL,t1_openacc_logL,max_abs_diff,match,t1_openacc_vs_baseline,t1_openacc_vs_clang
AA,10000,276.782,873.796,280.013,-966826.511,-966826.511,-966826.511,0.0,OK,0.9884612500133922,3.12055511708385
AA,100000,1268.936,,1245.703,-9027400.981,,-9027400.981,0.0,OK,1.0186505130035008,
DNA,10000,194.01,136.505,190.225,-616191.885,-616191.885,-616191.885,0.0,OK,1.019897489814693,0.7175975818110133
DNA,100000,308.077,1437.136,316.209,-6102417.191,-6102417.191,-6102417.191,0.0,OK,0.974282831924455,4.544892776612937
DNA,1000000,1961.672,,1995.934,-63520168.764,,-63520168.764,0.0,OK,0.9828341017288147,
