backend,taxa,sites,patterns,likelihood,time,treefile,run_number
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68988749.109,2.523,tree_3,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68988749.109,2.54,tree_3,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68988749.109,2.7,tree_3,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.581,tree_4,run2
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.513,tree_4,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.611,tree_4,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.553,tree_4,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.723,tree_4,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.695,tree_4,run6
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.608,tree_4,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.672,tree_4,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.593,tree_4,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66676166.744,2.628,tree_4,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.656,tree_5,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.613,tree_5,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.643,tree_5,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.619,tree_5,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.685,tree_5,run6
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.675,tree_5,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.533,tree_5,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.646,tree_5,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.549,tree_5,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-66178676.785,2.582,tree_5,run2
