data_type,tree_type,model,backend,walltime_mean,walltime_median,walltime_std,walltime_min,walltime_max,opt_time_mean,logl_mean,logl_std,tree_length_mean,n_runs
DNA,unrooted,GTR,VANILA,133.017,121.995,22.931,111.904,177.733,130.275,-66533394.68,1607473.986,19.648,40
DNA,unrooted,HKY,OMP_10,19.292,17.077,5.302,11.925,42.885,18.15,-67709710.404,3756909.013,19.798,100
DNA,unrooted,HKY,OMP_48,9.258,9.324,1.488,6.493,13.378,8.167,-67709710.404,3756909.013,19.798,100
DNA,unrooted,HKY,OPENACC,40.485,38.593,3.35,36.359,46.136,37.673,-67897557.605,4611466.081,19.764,51
DNA,unrooted,HKY,VANILA,75.283,74.822,6.246,65.782,88.908,72.527,-67389108.636,4140800.646,19.615,67
DNA,unrooted,JC,OMP_10,8.441,7.649,3.257,5.476,22.111,7.37,-68229186.18,2523722.796,20.094,100
DNA,unrooted,JC,OMP_48,4.766,4.588,1.115,3.328,9.883,3.745,-68229186.18,2523722.796,20.094,100
DNA,unrooted,JC,OPENACC,27.772,26.042,2.751,25.525,33.353,25.128,-67492346.369,2268390.098,19.702,70
DNA,unrooted,JC,VANILA,33.266,32.784,3.507,28.381,41.175,30.648,-68229186.18,2523722.796,20.094,100
DNA,unrooted,K2P,OMP_10,20.579,18.652,9.257,11.314,76.693,19.386,-67219370.165,3411879.996,19.648,100
DNA,unrooted,K2P,OMP_48,8.861,8.81,1.594,6.479,12.598,7.853,-67219370.165,3411879.996,19.648,100
DNA,unrooted,K2P,OPENACC,38.616,38.068,1.939,36.527,43.577,35.96,-67346758.519,4115337.826,19.778,59
DNA,unrooted,K2P,VANILA,75.284,74.44,2.839,71.509,83.199,72.702,-67256751.574,3971752.381,19.757,67
