file,datatype,model,taxa,sites,hardware,status,nt,host,distinct_patterns,wall_total_s,wall_tree_s,is_resumed,wall_fastml_s,best_logL,energy_cpu_total_J,energy_gpu_total_J,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,wall_mf_s
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,104.0,gadi-cpu-spr-0571.gadi.nci.org.au,96017,9.076,0.0,False,,-7941914.563,6005.723,,0.0,,,,,,,1817.023,515652.574,9.076
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R3_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,104.0,gadi-cpu-spr-0451.gadi.nci.org.au,96017,14.756,0.0,False,,-7548506.542,9649.613,,0.0,,,,,,,6183.945,515652.551,14.756
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,104.0,gadi-cpu-spr-0573.gadi.nci.org.au,96017,1.692,0.0,False,,-7964675.113,1301.677,,0.0,,,,,,,1816.988,515652.547,1.692
output_cudajolt_bfgs_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_H200,STILL_RUNNING,12.0,gadi-gpu-h200-0002.gadi.nci.org.au,96017,,,False,32.039,,,,,,,,,,,,,
output_cudajolt_bfgs_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_nt12_jolt_morewt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_H200,COMPLETE,12.0,gadi-gpu-h200-0018.gadi.nci.org.au,96017,9815.227,6401.645,False,34.353,-7541976.852,,,,,,,,,,,,3413.5820000000003
output_cudajolt_bfgs_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_V100_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_V100,STILL_RUNNING,12.0,gadi-gpu-v100-0041.gadi.nci.org.au,96017,,,False,108.606,,,,,,,,,,,,,
output_cudajolt_bfgs_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_V100_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_nt12_jolt_morewt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_V100,COMPLETE,12.0,gadi-gpu-v100-0114.gadi.nci.org.au,96017,16505.492,8469.885,False,106.589,-7541976.852,,,,,,,,,,,,8035.606999999998
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-G4_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0012.gadi.nci.org.au,96017,4.11,0.0,False,,-7541976.852,,,,,,,,,,,,4.11
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-G4_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0002.gadi.nci.org.au,96017,27.491,0.0,False,,-7541976.853,,,,,,,,,,,,27.491
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R3_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0020.gadi.nci.org.au,96017,50.533,0.0,False,,-7548154.558,,,,,,,,,,,,50.533
