datatype,model,taxa,sites,cpu_OMP_48,cpu_OMP_104,cudajolt_V100,cudajolt_H200,openACC_stable_V100,openACC_stable_H200,openACC_JOLT_h2tiling_H200
AA,LG+I+G4,100,100000,1.0,2.286229064738591,0.16590284009710224,0.27898570252119487,1.080423298376746,2.1716815394522713,
AA,LG+I+G4,100,1000000,1.0,2.40738805584086,,0.38605415889093453,1.538698006091465,4.0424697940141,
DNA,GTR+I+G4,100,100000,1.0,2.0564694716861753,0.1932386536760826,0.4099758369367701,0.3753735401257886,0.763826771537891,0.7589128922572517
DNA,GTR+I+G4,100,1000000,1.0,3.1335339362386265,0.4738242251241161,0.7796905950618495,1.7345521405001034,5.114807781831567,
