run,hardware,test,datatype,sites,wall_s,speedup_vs_CLX,energy_J,energy_ratio_vs_CLX,best_logL
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,1000,397.199,1.0,155802.439,1.0,-80578.84
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,1000,78.183,1.0,28194.425,1.0,-77823.964
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_aa,CPU_CLX_OMP48,UFBOOT1000,AA,1000,195.615,1.0,66983.472,1.0,-77823.964
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_LGC10_OPENACC_run1_tree_1_10000000_aa_iqtree,GPU_H200,LGC10,AA,10000000,,,,,
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_aa_iqtree,GPU_H200,MTEST,AA,10000000,89586.928,,75744029.958,,-782587990.703
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_10000000_aa_iqtree,GPU_H200,UFBOOT1000,AA,10000000,,,,,
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_LGC10_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_H200,LGC10,AA,1000000,51629.972,,41833503.098000005,,-81489753.863
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_H200,MTEST,AA,1000000,8097.987,4.087841953809014,5845956.649,0.4121157102372014,-78605196.573
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_H200,UFBOOT1000,AA,1000000,13454.291,2.9822186839871385,7891426.091,0.4640905013033651,-78605196.573
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_LGC10_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_V100,LGC10,AA,1000000,,,,,
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_V100,MTEST,AA,1000000,18614.403,1.7783697387447774,7757006.57,0.546836807703154,-78605196.573
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_V100,UFBOOT1000,AA,1000000,31668.994,1.266969137068263,12574877.197,0.7395217283780533,-78605196.573
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_LGC10_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_H200,LGC10,AA,100000,3721.768,5.507231509325675,3302448.245,0.35471487091025444,-7816903.985
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_H200,MTEST,AA,100000,1055.224,2.158775767040932,656437.253,0.6297040642793134,-7541976.86
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_H200,UFBOOT1000,AA,100000,1512.389,1.830123070188953,823162.575,0.6442410052981441,-7541976.86
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_LGC10_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_V100,LGC10,AA,100000,12338.394,1.6612079335446734,4643320.639,0.4987375301192057,-7816903.985
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_V100,MTEST,AA,100000,1996.502,1.1409915942984281,638097.61,0.61211129713858,-7541976.86
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_V100,UFBOOT1000,AA,100000,2622.265,1.0555218484783195,841493.5800000001,0.6585876063803487,-7541976.86
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_H200,UFBOOT1000,AA,1000,312.77,0.6254276305272245,175518.769,2.620329519496989,-77823.964
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000len_ninit2_LGC10_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_V100,LGC10,AA,1000,647.362,0.6135655166661003,152563.968,0.9792142470889046,-80578.84
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000len_ninit2_MTEST_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_V100,MTEST,AA,1000,330.943,0.23624309926482812,67817.967,2.405367976115846,-77823.964
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_V100,UFBOOT1000,AA,1000,419.194,0.46664551496443174,85697.209,1.279378426367627,-77823.964
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_10000000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,10000000,90016.691,2.385661832426166,61398099.42,2.8108661313832477,-578953728.317
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_10000000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,10000000,131414.096,,88272738.287,,-578953763.917
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,1000000,3286.862,3.202974752210467,2282655.904,0.5658578771159495,-59208019.212
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,1000000,3627.698,3.19398830883938,2518467.521,0.5568656073349051,-59208019.212
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_100000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,100000,125.295,2.1363901193184085,86197.907,0.780819426114042,-5692984.539
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_100000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,100000,145.052,2.2788310399029315,99689.903,0.6679496552139556,-5692984.539
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000len_ninit2_MIXGTR,CPU_SPR_OMP104,MIXGTR,DNA,1000,97.851,0.34079365566013636,64384.643,5.80122627890335,-59877.112
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,1000,105.045,0.4661716407254034,68417.723,4.1771328736950375,-56180.293
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,1000,59.661,1.4348401803523239,39434.335,1.3782957762517258,-56180.293
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_10000000len_ninit2_MTEST,CPU_CLX_OMP48,MTEST,DNA,10000000,214749.384,1.0,21843124.699,1.0,-578953728.317
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_10000000len_ninit2_UFBOOT1000,CPU_CLX_OMP48,UFBOOT1000,DNA,10000000,,,,,
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000000len_ninit2_MTEST,CPU_CLX_OMP48,MTEST,DNA,1000000,10527.736,1.0,4033973.894,1.0,-59208019.212
