run,hardware,test,datatype,sites,complete,wall_total_s,cpu_total_s,wall_ts_s,cpu_ts_s,wall_mf_explicit_s,cpu_mf_explicit_s,is_resumed,best_logL,energy_cpu_J,energy_gpu_J,energy_total_J,e_ts_cpu_J,e_ts_gpu_J,e_mf_cpu_J,e_mf_gpu_J,gpu_name,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,mf_required_MB,mem_flag,lm_save_gpu_GB,lm_save_gpu_pct,lm_save_cpu_GB,lm_save_cpu_pct,avg_power_W,cpu_share,wall_mf_s
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_aa,CPU_CLX_OMP48,UFBOOT1000,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,,,,,,,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,1000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,,,,,182.78,96.0,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,1000000,True,33103.291,1453801.513,23930.538,1089295.482,9003.822,357193.254,False,-78605196.573,14185231.244,,14185231.244,10426972.049,,3684129.013,,,,,,62907.027,193084.609,58489.0,,,,,,428.5142297181269,1.0,9003.822
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_aa,CPU_CLX_OMP48,UFBOOT1000,AA,1000000,True,40123.638,1737151.649,25675.721,1165836.955,14245.947,563392.729,False,-78605196.573,17004067.243,,17004067.243,11120296.371,,5767662.021,,,,,,89728.879,193084.598,149834.0,,,,,,423.7917619284672,1.0,14245.947
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_100000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,100000,True,20496.638,931480.839,20151.874,918450.655,,,False,-7816903.985,9310148.843,,9310148.843,9166348.26,,,,,,,,59731.891,193084.602,,,,,,,454.22809550522385,1.0,344.7639999999992
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_100000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,100000,True,2277.992,104643.512,1655.043,76723.247,609.681,27330.358,False,-7541976.86,1042453.575,,1042453.575,758433.218,,277827.185,,,,,,6415.777,193084.602,5935.0,,,,,,457.61950656543127,1.0,609.681
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_aa,CPU_CLX_OMP48,UFBOOT1000,AA,100000,True,2767.858,127026.018,1751.289,81197.627,1001.671,45215.561,False,-7541976.86,1277724.591,,1277724.591,806266.471,,462270.514,,,,,,9131.996,193084.602,15204.0,,,,,,461.6293866954157,1.0,1001.671
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,1000,True,397.199,17183.795,389.353,16978.271,,,False,-80578.84,155802.439,,155802.439,153441.772,,,,,,,,671.723,193084.594,,,,,,,392.2528480686004,1.0,7.846000000000004
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,1000,True,78.183,3535.309,52.995,2481.008,24.617,1028.14,False,-77823.964,28194.425,,28194.425,19210.361,,8726.959,,,,,,94.18,193084.609,62.0,,,,,,360.6209150326797,1.0,24.617
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_aa,CPU_CLX_OMP48,UFBOOT1000,AA,1000,True,195.615,8163.627,137.648,5975.759,56.863,2141.41,False,-77823.964,66983.472,,66983.472,47338.582,,19158.923,,,,,,157.402,193084.578,158.0,,,,,,342.4250287554635,1.0,56.863
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_LGC10_OPENACC_run1_tree_1_10000000_aa_iqtree,GPU_H200,LGC10,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,1031168.0,,,619.255,443.76,,,,,
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_aa_iqtree,GPU_H200,MTEST,AA,10000000,True,89586.928,89205.293,62850.33,62721.807,26113.532,25868.06,False,-782587990.703,32728336.296,43015693.662,75744029.958,23223575.499,30021370.931,9214876.319,12720989.464,NVIDIA H200,118414.688,143771.0,117540.0,35876.539,1031781.766,91474.0,,124.54,89.246,,,845.4808268233062,0.4320912989993777,26113.532
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_10000000_aa_iqtree,GPU_H200,UFBOOT1000,AA,10000000,False,,,,,59348.345,58861.161,False,,,,,,,15643489.385,30252047.71,,,,,,1031168.0,163926.0,,124.54,89.246,,,,,59348.345
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_LGC10_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_H200,LGC10,AA,1000000,True,51629.972,51605.577,50749.049,50728.16,,,False,-81489753.863,12700139.355,29133363.743,41833503.098000005,12482231.645,28675060.562,,,NVIDIA H200,107144.688,143771.0,106270.0,3229.199,1031781.789,,,123.395,88.426,,,810.2561647331515,0.3035877565703355,880.9230000000025
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_H200,MTEST,AA,1000000,True,8097.987,7994.392,5640.554,5636.928,2403.029,2304.549,False,-78605196.573,2290662.528,3555294.121,5845956.649,1568642.001,2571670.318,702743.832,963193.344,NVIDIA H200,104372.688,143771.0,103498.0,3441.805,1031781.781,58489.0,,,,,,721.9024492136132,0.3918370705660017,2403.029
