data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,rooted,GTR+I+G4,5,-16.4382,,-16.438,,,0.048,-7097.8271,,-7097.827,,,0.18,True,50,32,False,both,-7081.388900000001,7081.388900000001,False,
DNA,rooted,GTR+I+G4,6,-22.9466,,-22.947,,,0.045,-7097.8271,,-7097.827,,,0.208,True,50,32,False,both,-7074.8805,7074.8805,False,
DNA,rooted,GTR+I+G4,7,-15.4134,,-15.413,,,0.014,-21.5278,,-21.528,,,0.155,False,0,0,False,both,-6.1144,6.1144,False,
DNA,rooted,GTR+I+G4,8,-30.3507,,-30.351,,,0.034,-7097.8271,,-7097.827,,,0.236,True,50,52,False,both,-7067.4764000000005,7067.4764000000005,False,
DNA,rooted,GTR+I+G4,9,-10.889,,-10.889,,,0.012,-17.8205,,-17.82,,,0.163,False,0,0,False,both,-6.9315,6.9315,False,
DNA,rooted,GTR+I+G4,10,-18.1703,,-18.17,,,0.041,-7097.8271,,-7097.827,,,0.204,True,50,32,False,both,-7079.656800000001,7079.656800000001,False,
DNA,rooted,GTR+R4,1,-26.1687,-26.169,-26.169,4.0,0.013,0.048,-7097.8271,-7097.8271289338,-7097.827,1.0,0.053,0.061,True,5,251,True,both,-7071.6584,7071.6584,False,-3.0
DNA,rooted,GTR+R4,2,-38.5182,-38.518,-38.518,6.0,0.007,0.016,-7097.8271,-7097.8271289338,-7097.827,1.0,0.05,0.094,True,5,251,True,both,-7059.3089,7059.3089,False,-5.0
DNA,rooted,GTR+R4,3,-23.9302,-23.93,-23.93,3.0,0.007,0.048,-7097.8271,-7097.8271289338,-7097.827,1.0,0.047,0.064,True,5,251,True,both,-7073.896900000001,7073.896900000001,False,-2.0
DNA,rooted,GTR+R4,4,-26.2633,-26.263,-26.263,7.0,0.009,0.017,-7097.8271,-7097.8271289338,-7097.827,1.0,0.066,0.084,True,5,251,True,both,-7071.563800000001,7071.563800000001,False,-6.0
DNA,rooted,GTR+R4,5,-15.7925,-15.793,-15.793,4.0,0.004,0.011,-7097.8271,-7097.8271289338,-7097.827,1.0,0.035,0.053,True,3,251,True,both,-7082.034600000001,7082.034600000001,False,-3.0
DNA,rooted,GTR+R4,6,-17.4709,-17.471,-17.471,12.0,0.011,0.021,-7097.8271,-7097.8271289338,-7097.827,1.0,0.048,0.059,True,5,251,True,both,-7080.3562,7080.3562,False,-11.0
