wall_total_sec,wall_treesearch_sec,modelfinder_wall_sec,parsimony_wall_sec,init_parsimony_sec,data_type,length,config_label,log_path,wall_total_min,wall_treesearch_min,modelfinder_wall_min,parsimony_wall_min,init_parsimony_min
2905.543,2065.578,825.173,391.25,3.207,AA,100000,GPU V100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/AA/len_100000/output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,48.425716666666666,34.4263,13.752883333333333,6.520833333333333,0.05345
2272.027,1644.446,617.072,286.147,2.325,AA,100000,GPU A100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/AA/len_100000/output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_A100_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,37.86711666666667,27.407433333333334,10.284533333333334,4.769116666666666,0.03875
1367.078,991.076,369.078,146.474,1.219,AA,100000,GPU H200,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/AA/len_100000/output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,22.784633333333332,16.517933333333335,6.1513,2.4412333333333334,0.020316666666666667
,,,,108.765,AA,1000000,GPU V100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/AA/len_1000000/output_test_cases_mem_full_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_GPUMEM_AA_OPENACC_LG-I-G4_V100_DEFAULT_1Mlen_OPENACC_run1_tree_1_1000000_aa_iqtree.log,,,,,1.81275
,,,,39.644,AA,1000000,GPU A100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/AA/len_1000000/output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_LG-I-G4_A100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log,,,,,0.6607333333333333
12197.809,8698.133,3443.4,2976.209,32.067,AA,1000000,GPU H200,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/AA/len_1000000/output_test_cases_mem_full_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_GPUMEM_AA_OPENACC_LG-I-G4_H200_DEFAULT_1Mlen_OPENACC_run1_tree_1_1000000_aa_iqtree.log,203.29681666666664,144.96888333333334,57.39,49.60348333333333,0.53445
1000.451,581.892,414.123,82.197,0.418,DNA,100000,GPU V100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/DNA/len_100000/output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,16.674183333333335,9.698200000000002,6.90205,1.36995,0.006966666666666666
958.752,540.329,414.708,61.808,0.392,DNA,100000,GPU A100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/DNA/len_100000/output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,15.979199999999999,9.005483333333332,6.9118,1.0301333333333333,0.006533333333333334
516.057,298.09,215.903,53.33,0.405,DNA,100000,GPU H200,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/DNA/len_100000/output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,8.600950000000001,4.968166666666666,3.598383333333333,0.8888333333333333,0.006750000000000001
6975.073,4102.941,2828.137,1164.206,8.57,DNA,1000000,GPU V100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/DNA/len_1000000/output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree.log,116.25121666666668,68.38235,47.13561666666667,19.403433333333332,0.14283333333333334
