data_type,topology,model,tree,ll_VANILA,time_VANILA,uf_VANILA,rates_VANILA,ll_OPENACC,time_OPENACC,uf_OPENACC,rates_OPENACC,ll_diff
AA,rooted,LG,tree_1,-31.9526,0.0195198,0,,-31.9526,0.017195,0,,0.0
AA,rooted,LG,tree_10,-33.8234,0.0200675,0,,-33.8234,0.023756,0,,0.0
AA,rooted,LG,tree_2,-52.7283,0.0109837,0,,-52.7283,0.020988,0,,0.0
AA,rooted,LG,tree_3,-44.7702,0.0277902,0,,-44.7702,0.0212641,0,,0.0
AA,rooted,LG,tree_4,-64.1872,0.0190793,0,,-64.1872,0.019027,0,,0.0
AA,rooted,LG,tree_5,-31.4485,0.0187265,0,,-31.4485,0.0223348,0,,0.0
AA,rooted,LG,tree_6,-58.1344,0.0108792,0,,-58.1344,0.020808,0,,0.0
AA,rooted,LG,tree_7,-62.1876,0.124142,0,,-62.1876,0.0202949,0,,0.0
AA,rooted,LG,tree_8,-49.228,0.014067,0,,-49.228,0.0217559,0,,0.0
AA,rooted,LG,tree_9,-58.1418,0.0359736,0,,-58.1418,0.0197561,0,,0.0
AA,rooted,LG+C60,tree_1,-48.411,0.198555,0,,-86.653,0.60579,0,,38.242000000000004
AA,rooted,LG+C60,tree_10,-34.5295,0.233769,0,,-79.0731,0.492761,0,,44.5436
AA,rooted,LG+C60,tree_2,-46.7955,0.303003,0,,-87.7048,0.573661,0,,40.90930000000001
AA,rooted,LG+C60,tree_3,-38.2773,0.148168,0,,-71.9325,0.399519,0,,33.65520000000001
AA,rooted,LG+C60,tree_4,-60.1356,0.212528,0,,-89.5002,0.711728,0,,29.36460000000001
AA,rooted,LG+C60,tree_5,-55.6071,0.243672,0,,-93.4043,0.603799,0,,37.797200000000004
AA,rooted,LG+C60,tree_6,-45.3339,0.216999,0,,-70.8952,0.74886,0,,25.561300000000003
AA,rooted,LG+C60,tree_7,-42.8248,0.380259,0,,-96.2841,0.599075,0,,53.45929999999999
AA,rooted,LG+C60,tree_8,-30.7472,0.115256,0,,-66.6042,0.592007,0,,35.857000000000006
AA,rooted,LG+C60,tree_9,-41.3954,0.230712,0,,-84.6761,0.627994,0,,43.2807
AA,rooted,LG+G4,tree_1,-42.6132,0.0110264,0,,-42.6132,0.0774391,0,,0.0
AA,rooted,LG+G4,tree_10,-52.2317,0.0960882,0,,-52.2317,0.118446,0,,0.0
AA,rooted,LG+G4,tree_2,-43.5726,0.0123043,0,,-43.5726,0.0830829,0,,0.0
AA,rooted,LG+G4,tree_3,-34.2152,0.0121803,0,,-34.2152,0.0422769,0,,0.0
AA,rooted,LG+G4,tree_4,-58.3442,0.0110273,0,,-58.3442,0.037878,0,,0.0
AA,rooted,LG+G4,tree_5,-50.6037,0.0113528,0,,-50.6037,0.055963,0,,0.0
AA,rooted,LG+G4,tree_6,-51.8538,0.0138872,0,,-51.8538,0.0629771,0,,0.0
AA,rooted,LG+G4,tree_7,-66.5284,0.0134073,0,,-66.5284,0.0615749,0,,0.0
AA,rooted,LG+G4,tree_8,-45.1632,0.0132652,0,,-45.1632,0.0617521,0,,0.0
AA,rooted,LG+G4,tree_9,-28.2178,0.02307,0,,-28.2178,0.0366731,0,,0.0
AA,rooted,LG+I,tree_1,-57.2194,0.0179046,0,,-57.2194,0.041291,0,,0.0
AA,rooted,LG+I,tree_10,-42.5409,0.145958,0,,-42.5409,0.024456,0,,0.0
AA,rooted,LG+I,tree_2,-47.2156,0.0358688,0,,-47.2156,0.147317,0,,0.0
AA,rooted,LG+I,tree_3,-40.3739,0.310189,0,,-40.3739,0.0274231,0,,0.0
AA,rooted,LG+I,tree_4,-53.4773,0.0170361,0,,-53.4773,0.175206,0,,0.0
AA,rooted,LG+I,tree_5,-57.3439,0.037018,0,,-57.3439,0.0261738,0,,0.0
AA,rooted,LG+I,tree_6,-51.0907,0.0174868,0,,-51.0907,0.04335,0,,0.0
AA,rooted,LG+I,tree_7,-56.392,0.0174577,0,,-56.392,0.0324998,0,,0.0
AA,rooted,LG+I,tree_8,-41.0619,0.0154829,0,,-41.0619,0.042413,0,,0.0
AA,rooted,LG+I,tree_9,-28.9629,0.1132,0,,-28.9629,0.0264578,0,,0.0
AA,rooted,LG+I+G4,tree_1,-44.8068,0.0965871,0,,-44.8068,1.0241,0,,0.0
AA,rooted,LG+I+G4,tree_10,-42.3753,0.0490156,0,,-42.3753,0.513182,0,,0.0
AA,rooted,LG+I+G4,tree_2,-45.2131,0.0583153,0,,-45.2131,0.627383,0,,0.0
AA,rooted,LG+I+G4,tree_3,-28.9853,0.039761,0,,-28.9853,0.308202,0,,0.0
AA,rooted,LG+I+G4,tree_4,-46.584,0.0757989,0,,-46.584,0.804369,0,,0.0
AA,rooted,LG+I+G4,tree_5,-36.2596,0.0389444,0,,-36.2596,0.401105,0,,0.0
AA,rooted,LG+I+G4,tree_6,-42.1374,0.0376108,0,,-42.1374,0.412766,0,,0.0
AA,rooted,LG+I+G4,tree_7,-46.5342,0.0902393,0,,-46.5342,1.06877,0,,0.0
AA,rooted,LG+I+G4,tree_8,-36.8361,0.0472148,0,,-36.8361,0.389188,0,,0.0
AA,rooted,LG+I+G4,tree_9,-48.2382,0.0628093,0,,-48.2382,0.656593,0,,0.0
AA,rooted,LG+R4,tree_1,-60.6027,0.0192397,0,"(0.2182,0.2208) (0.2471,0.7465) (0.2733,1.2704) (0.2614,1.6075)",-60.6027,0.130295,0,"(0.2182,0.2208) (0.2471,0.7465) (0.2733,1.2704) (0.2614,1.6075)",0.0
AA,rooted,LG+R4,tree_10,-53.2021,0.0164031,0,"(0.2416,0.1506) (0.2409,0.5793) (0.2574,1.3504) (0.2602,1.8315)",-53.2021,0.135497,0,"(0.2416,0.1506) (0.2409,0.5793) (0.2574,1.3504) (0.2602,1.8315)",0.0
AA,rooted,LG+R4,tree_2,-48.1782,0.020183,0,"(0.2031,0.9246) (0.2575,1.0030) (0.2791,1.0222) (0.2603,1.0320)",-48.1782,0.137822,0,"(0.2031,0.9248) (0.2575,1.0030) (0.2791,1.0220) (0.2603,1.0321)",0.0
AA,rooted,LG+R4,tree_3,-55.1647,0.0199207,0,"(0.2233,0.1628) (0.2399,0.8008) (0.2736,1.3218) (0.2632,1.5574)",-55.1647,0.146355,0,"(0.2233,0.1628) (0.2399,0.8008) (0.2736,1.3218) (0.2632,1.5574)",0.0
AA,rooted,LG+R4,tree_4,-50.9005,0.0291868,0,"(0.2072,0.3506) (0.2515,0.9829) (0.2762,1.2171) (0.2651,1.2976)",-50.9005,0.148139,0,"(0.2072,0.3506) (0.2515,0.9829) (0.2762,1.2171) (0.2651,1.2976)",0.0
AA,rooted,LG+R4,tree_5,-46.2455,0.0272798,0,"(0.3030,0.1224) (0.2159,0.1403) (0.2704,0.1476) (0.2107,4.2361)",-46.2455,0.140853,0,"(0.3030,0.1224) (0.2159,0.1403) (0.2704,0.1476) (0.2107,4.2361)",0.0
AA,rooted,LG+R4,tree_6,-54.0278,0.0293303,0,"(0.3617,0.1382) (0.3030,0.2092) (0.2116,0.2263) (0.1237,6.7817)",-54.0278,0.249199,0,"(0.3617,0.1382) (0.3030,0.2092) (0.2116,0.2264) (0.1237,6.7816)",0.0
AA,rooted,LG+R4,tree_7,-35.4523,0.0272077,0,"(0.2460,0.2135) (0.2497,0.6502) (0.2526,1.1545) (0.2516,1.9611)",-35.4523,0.0803621,0,"(0.2460,0.2136) (0.2497,0.6502) (0.2526,1.1545) (0.2516,1.9611)",0.0
AA,rooted,LG+R4,tree_8,-40.5633,0.035032,0,"(0.2321,0.4561) (0.2523,0.9137) (0.2616,1.1728) (0.2540,1.4046)",-40.5633,0.147364,0,"(0.2321,0.4561) (0.2523,0.9137) (0.2616,1.1728) (0.2540,1.4046)",0.0
AA,rooted,LG+R4,tree_9,-68.7165,0.0209714,0,"(0.2779,0.9999) (0.1429,0.9999) (0.3304,1.0001) (0.2487,1.0001)",-68.7165,0.135463,0,"(0.2779,0.9999) (0.1429,0.9999) (0.3304,1.0001) (0.2487,1.0001)",0.0
AA,unrooted,LG,tree_1,-39.1115,0.00895408,0,,-39.1115,0.087059,0,,0.0
AA,unrooted,LG,tree_10,-26.8698,0.0203734,0,,-26.8698,0.0836899,0,,0.0
AA,unrooted,LG,tree_2,-34.0114,0.00843263,0,,-34.0114,0.0283971,0,,0.0
AA,unrooted,LG,tree_3,-42.58,0.00832675,0,,-42.58,0.137223,0,,0.0
AA,unrooted,LG,tree_4,-33.1938,0.017812,0,,-33.1938,0.0169089,0,,0.0
AA,unrooted,LG,tree_5,-33.1292,0.0110693,0,,-33.1292,0.0466969,0,,0.0
AA,unrooted,LG,tree_6,-36.2758,0.110874,0,,-36.2758,0.0369561,0,,0.0
AA,unrooted,LG,tree_7,-51.49,0.0142364,0,,-51.49,0.0206339,0,,0.0
AA,unrooted,LG,tree_8,-59.9108,0.0100317,0,,-59.9108,0.0191791,0,,0.0
AA,unrooted,LG,tree_9,-46.0654,0.0127784,0,,-46.0654,0.0225909,0,,0.0
AA,unrooted,LG+C60,tree_1,-40.979,0.292594,0,,-89.5385,0.649886,0,,48.5595
AA,unrooted,LG+C60,tree_10,-34.678,0.367257,0,,-67.8917,0.611144,0,,33.2137
AA,unrooted,LG+C60,tree_2,-43.4233,0.205379,0,,-66.019,0.644293,0,,22.595700000000008
AA,unrooted,LG+C60,tree_3,-54.5806,0.323545,0,,-85.6111,0.627438,0,,31.030499999999996
AA,unrooted,LG+C60,tree_4,-53.6699,0.247655,0,,-91.8151,0.630695,0,,38.1452
AA,unrooted,LG+C60,tree_5,-32.052,0.117061,0,,-68.0634,0.388358,0,,36.0114
AA,unrooted,LG+C60,tree_6,-42.6845,0.237759,0,,-90.1662,0.598976,0,,47.481700000000004
AA,unrooted,LG+C60,tree_7,-48.4746,0.349455,0,,-58.9594,0.609183,0,,10.4848
AA,unrooted,LG+C60,tree_8,-44.1678,0.254803,0,,-71.6126,0.599111,0,,27.4448
AA,unrooted,LG+C60,tree_9,-34.5222,0.430907,0,,-82.4043,0.617145,0,,47.88210000000001
AA,unrooted,LG+G4,tree_1,-51.5526,0.0117084,0,,-51.5526,0.065917,0,,0.0
AA,unrooted,LG+G4,tree_10,-56.5387,0.0197963,0,,-56.5387,0.0452058,0,,0.0
AA,unrooted,LG+G4,tree_2,-45.9581,0.0112811,0,,-45.9581,0.040715,0,,0.0
AA,unrooted,LG+G4,tree_3,-65.4274,0.013685,0,,-65.4274,0.0694211,0,,0.0
AA,unrooted,LG+G4,tree_4,-46.2536,0.0129598,0,,-46.2536,0.0487158,0,,0.0
AA,unrooted,LG+G4,tree_5,-41.6674,0.0112272,0,,-41.6674,0.03701,0,,0.0
AA,unrooted,LG+G4,tree_6,-46.607,0.0127426,0,,-46.607,0.069525,0,,0.0
AA,unrooted,LG+G4,tree_7,-33.4254,0.0103035,0,,-33.4254,0.0690782,0,,0.0
AA,unrooted,LG+G4,tree_8,-29.2651,0.0116142,0,,-29.2651,0.048337,0,,0.0
AA,unrooted,LG+G4,tree_9,-47.7809,0.0131251,0,,-47.7809,0.0633652,0,,0.0
AA,unrooted,LG+I,tree_1,-32.8483,0.00966164,0,,-32.8483,0.0300488,0,,0.0
AA,unrooted,LG+I,tree_10,-38.1485,0.0149951,0,,-38.1485,0.0264239,0,,0.0
AA,unrooted,LG+I,tree_2,-60.8509,0.0285338,0,,-60.8509,0.0277588,0,,0.0
AA,unrooted,LG+I,tree_3,-41.2129,0.0149975,0,,-41.2129,0.0272498,0,,0.0
AA,unrooted,LG+I,tree_4,-42.6494,0.0197634,0,,-42.6494,0.0226581,0,,0.0
AA,unrooted,LG+I,tree_5,-64.9414,0.254121,0,,-64.9414,0.0267611,0,,0.0
AA,unrooted,LG+I,tree_6,-54.8024,0.0534613,0,,-54.8024,0.0567372,0,,0.0
AA,unrooted,LG+I,tree_7,-42.9675,0.0180631,0,,-42.9675,0.0370779,0,,0.0
AA,unrooted,LG+I,tree_8,-57.777,0.011187,0,,-57.777,0.0356901,0,,0.0
AA,unrooted,LG+I,tree_9,-33.6774,0.016474,0,,-33.6774,0.0387039,0,,0.0
AA,unrooted,LG+I+G4,tree_1,-44.1689,0.046492,0,,-44.1689,0.365988,0,,0.0
AA,unrooted,LG+I+G4,tree_10,-33.2067,0.0298619,0,,-33.2067,0.281914,0,,0.0
AA,unrooted,LG+I+G4,tree_2,-51.1984,0.0497359,0,,-51.1984,0.472324,0,,0.0
AA,unrooted,LG+I+G4,tree_3,-42.4307,0.235599,0,,-42.4307,0.561881,0,,0.0
AA,unrooted,LG+I+G4,tree_4,-52.6315,0.0518653,0,,-52.6315,0.422946,0,,0.0
AA,unrooted,LG+I+G4,tree_5,-38.9141,0.0449093,0,,-38.9141,0.414882,0,,0.0
AA,unrooted,LG+I+G4,tree_6,-51.6059,0.0472485,0,,-51.6059,0.456508,0,,0.0
