data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG+G4,tree_5,OPENACC,False,-50.6037,1         0.0949         0.2500 |   2         0.4059         0.2500 |   3         0.9561         0.2500 |   4         2.5431         0.2500
AA,rooted,LG+G4,tree_5,VANILA,False,-50.6037,1         0.0949         0.2500 |   2         0.4059         0.2500 |   3         0.9561         0.2500 |   4         2.5431         0.2500
AA,rooted,LG+G4,tree_6,OPENACC,False,-51.8538,1         0.0052         0.2500 |   2         0.1034         0.2500 |   3         0.5935         0.2500 |   4         3.2979         0.2500
AA,rooted,LG+G4,tree_6,VANILA,False,-51.8538,1         0.0052         0.2500 |   2         0.1034         0.2500 |   3         0.5935         0.2500 |   4         3.2979         0.2500
AA,rooted,LG+G4,tree_7,OPENACC,False,-66.5284,1         0.7726         0.2500 |   2         0.9295         0.2500 |   3         1.0505         0.2500 |   4         1.2475         0.2500
AA,rooted,LG+G4,tree_7,VANILA,False,-66.5284,1         0.7726         0.2500 |   2         0.9295         0.2500 |   3         1.0505         0.2500 |   4         1.2475         0.2500
AA,rooted,LG+G4,tree_8,OPENACC,False,-45.1632,1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0108         0.2500 |   4         3.9892         0.2500
AA,rooted,LG+G4,tree_8,VANILA,False,-45.1632,1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0108         0.2500 |   4         3.9892         0.2500
AA,rooted,LG+G4,tree_9,OPENACC,False,-28.2178,1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0000         0.2500 |   4         4.0000         0.2500
AA,rooted,LG+G4,tree_9,VANILA,False,-28.2178,1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0000         0.2500 |   4         4.0000         0.2500
AA,rooted,LG+I,tree_1,OPENACC,False,-57.2194,0         0              0.4965 |   1         1.9860         0.5035
AA,rooted,LG+I,tree_1,VANILA,False,-57.2194,0         0              0.4965 |   1         1.9860         0.5035
AA,rooted,LG+I,tree_10,OPENACC,False,-42.5409,0         0              0.6247 |   1         2.6642         0.3753
AA,rooted,LG+I,tree_10,VANILA,False,-42.5409,0         0              0.6247 |   1         2.6642         0.3753
AA,rooted,LG+I,tree_2,OPENACC,False,-47.2156,0         0              0.0000 |   1         1.0000         1.0000
