data_type,length_label,hw,new_threads,new_wall_min,new_ts_min,master_threads,master_wall_min,master_ts_min,speedup_wall,speedup_ts
AA,100K,CLX,47.0,57.68021666666667,38.95611666666667,48,55.04505,39.16918333333333,0.9543142030499769,1.0054694021092963
AA,1M,CLX,47.0,855.4708666666667,580.3662166666667,48,811.5810833333333,589.7716166666667,0.9486951747353485,1.016205974313977
AA,100K,SPR,103.0,19.4926,12.741299999999999,104,23.738433333333333,17.110233333333333,1.2178177017603262,1.3428954136024844
AA,1M,SPR,103.0,379.6037666666667,251.64341666666667,104,487.2661833333333,366.70461666666665,1.2836178829626999,1.457239062814081
DNA,100K,CLX,47.0,9.100733333333332,6.413966666666667,48,10.665633333333334,8.346766666666666,1.17195317593454,1.301342383028703
DNA,1M,CLX,47.0,295.88096666666667,124.69806666666666,48,219.82715,118.75496666666666,0.7429580634284351,0.9523400790496084
DNA,100K,SPR,103.0,4.818683333333333,3.7741166666666666,104,8.64245,6.813383333333333,1.7935293527623384,1.8052921875759007
DNA,1M,SPR,103.0,101.9075,43.283249999999995,104,83.5353,50.080016666666666,0.81971690013002,1.1570299519252059
