data_type,length_label,CLX 47T (speed),CLX 48T,GPU A100,GPU H200,GPU V100,SPR 103T (speed),SPR 104T,SPR 10T,SPR 1T,SPR 48T
AA,100K,57.68021666666667,55.04505,37.86711666666667,22.78463333333333,48.425716666666666,19.4926,23.738433333333333,139.14576666666665,765.6293833333333,37.43751666666667
AA,1M,855.4708666666667,811.5810833333333,,203.29681666666664,,379.6037666666667,487.2661833333333,1543.5212666666666,,613.7621
DNA,100K,9.100733333333332,10.665633333333334,15.9792,8.600950000000001,16.674183333333335,4.818683333333333,8.64245,22.184900000000003,198.1124166666667,10.106050000000002
DNA,10M,,,,840.2683666666667,,2387.9488666666666,,,,
DNA,1M,295.88096666666667,219.82715,75.39796666666666,44.55745,116.25121666666668,101.9075,83.5353,482.0132833333333,2136.98155,147.5193
