data_type,length_label,CLX 47T (speed),CLX 48T,GPU A100,GPU H200,GPU V100,SPR 103T (speed),SPR 104T,SPR 10T,SPR 1T,SPR 48T
AA,100K,38.95611666666667,39.16918333333333,27.407433333333334,16.517933333333335,34.4263,12.741299999999999,17.110233333333333,93.39046666666668,477.1017333333333,25.64398333333333
AA,1M,580.3662166666667,589.7716166666667,,144.96888333333334,,251.64341666666667,366.70461666666665,986.7147666666666,,425.6324333333333
DNA,100K,6.413966666666667,8.346766666666666,9.005483333333332,4.968166666666666,9.698200000000002,3.7741166666666666,6.813383333333333,15.387733333333331,127.1252,7.28395
DNA,10M,,,,435.31415,,1140.0808333333334,,,,
DNA,1M,124.69806666666666,118.75496666666666,41.20791666666666,26.18445,68.38235,43.283249999999995,50.080016666666666,232.54466666666667,899.23165,82.53485
