data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,rooted,GTR+G4,4,-22.0407,-22.041,-22.041,3.0,0.003,0.017,-22.0407,-22.041,-22.041,3.0,0.05,0.058,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+G4,5,-17.6505,-17.65,-17.65,3.0,0.003,0.026,-17.6505,-17.65,-17.65,3.0,0.047,0.056,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+G4,6,-27.9543,-27.954,-27.954,4.0,0.003,0.019,-27.9543,-27.954,-27.954,4.0,0.052,0.063,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+G4,7,-20.493,-20.493,-20.493,13.0,0.009,0.034,-20.493,-20.493,-20.493,13.0,0.111,0.12,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+G4,8,-31.7372,-31.737,-31.737,6.0,0.007,0.028,-31.7372,-31.737,-31.737,6.0,0.087,0.116,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+G4,9,-17.7249,-17.725,-17.725,3.0,0.002,0.021,-17.7248,-17.725,-17.725,3.0,0.029,0.039,False,0,0,False,both,0.00010000000000331966,0.00010000000000331966,True,0.0
DNA,rooted,GTR+G4,10,-24.165,-24.165,-24.165,2.0,0.004,0.027,-24.165,-24.165,-24.165,2.0,0.057,0.066,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,1,-18.5477,-18.548,-18.548,3.0,0.004,0.051,-18.5477,-18.548,-18.548,3.0,0.046,0.055,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,2,-26.4621,-26.462,-26.462,6.0,0.008,0.058,-26.4621,-26.462,-26.462,6.0,0.09,0.106,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,3,-28.6229,-28.623,-28.623,6.0,0.004,0.022,-28.6229,-28.623,-28.623,6.0,0.076,0.099,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,4,-21.1973,-21.197,-21.197,10.0,0.009,0.054,-21.1973,-21.197,-21.197,10.0,0.105,0.145,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,5,-17.0088,-17.009,-17.009,8.0,0.005,0.029,-17.0085,-17.009,-17.009,8.0,0.094,0.103,False,0,0,False,both,0.0002999999999993008,0.0002999999999993008,True,0.0
DNA,rooted,GTR+I,6,-22.7707,-22.771,-22.771,9.0,0.01,0.042,-22.7735,-22.773,-22.773,9.0,0.107,0.155,False,0,0,False,both,-0.002799999999997027,0.002799999999997027,True,0.0
DNA,rooted,GTR+I,7,-24.8926,-24.893,-24.893,5.0,0.002,0.022,-24.8926,-24.893,-24.893,5.0,0.058,0.067,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,8,-16.8665,-16.867,-16.867,29.0,0.018,0.036,-16.8675,-16.868,-16.868,29.0,0.355,0.366,False,0,0,False,both,-0.0010000000000012221,0.0010000000000012221,True,0.0
DNA,rooted,GTR+I,9,-33.4432,-33.443,-33.443,5.0,0.003,0.018,-33.4432,-33.443,-33.443,5.0,0.076,0.085,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I,10,-20.3435,-20.344,-20.344,4.0,0.005,0.055,-20.3435,-20.343,-20.343,4.0,0.052,0.062,False,0,0,False,both,0.0,0.0,True,0.0
DNA,rooted,GTR+I+G4,1,-26.6021,,-26.602,,,0.054,-7097.8271,,-7097.827,,,0.342,True,50,36,False,both,-7071.225,7071.225,False,
DNA,rooted,GTR+I+G4,2,-42.3377,,-42.338,,,0.053,-7097.8271,,-7097.827,,,0.229,True,50,32,False,both,-7055.4894,7055.4894,False,
DNA,rooted,GTR+I+G4,3,-15.4437,,-15.444,,,0.044,-7097.8271,,-7097.827,,,0.137,True,30,32,False,both,-7082.383400000001,7082.383400000001,False,
DNA,rooted,GTR+I+G4,4,-18.8078,,-18.808,,,0.05,-19.6046,,-19.605,,,0.475,False,0,0,False,both,-0.7968000000000011,0.7968000000000011,False,
DNA,rooted,GTR+I+G4,5,-16.4382,,-16.438,,,0.076,-7097.8271,,-7097.827,,,0.177,True,50,32,False,both,-7081.388900000001,7081.388900000001,False,
DNA,rooted,GTR+I+G4,6,-22.9466,,-22.947,,,0.059,-7097.8271,,-7097.827,,,0.189,True,50,32,False,both,-7074.8805,7074.8805,False,
DNA,rooted,GTR+I+G4,7,-15.4134,,-15.413,,,0.029,-15.9017,,-15.902,,,0.233,False,0,0,False,both,-0.4883000000000006,0.4883000000000006,False,
DNA,rooted,GTR+I+G4,8,-30.3507,,-30.351,,,0.056,-7097.8271,,-7097.827,,,0.201,True,50,46,False,both,-7067.4764000000005,7067.4764000000005,False,
DNA,rooted,GTR+I+G4,9,-10.889,,-10.889,,,0.034,-10.889,,-10.889,,,0.197,False,0,0,False,both,0.0,0.0,True,
DNA,rooted,GTR+I+G4,10,-18.1703,,-18.17,,,0.064,-7097.8271,,-7097.827,,,0.205,True,50,32,False,both,-7079.656800000001,7079.656800000001,False,
DNA,rooted,GTR+R4,1,-26.1687,-26.169,-26.169,4.0,0.012,0.036,-7097.8271,-7097.8271289338,-7097.827,1.0,0.053,0.061,True,5,251,True,both,-7071.6584,7071.6584,False,-3.0
DNA,rooted,GTR+R4,2,-38.5182,-38.518,-38.518,6.0,0.017,0.047,-7097.8271,-7097.8271289338,-7097.827,1.0,0.049,0.084,True,5,251,True,both,-7059.3089,7059.3089,False,-5.0
