data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
AA,rooted,LG,1,-31.9526,-31.953,-31.953,1.0,0.0,0.036,-31.9526,-31.953,-31.953,1.0,0.01,0.033,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,2,-52.7283,-52.728,-52.728,1.0,0.0,0.013,-52.7283,-52.728,-52.728,1.0,0.016,0.037,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,3,-44.7702,-44.77,-44.77,1.0,0.001,0.046,-44.7702,-44.77,-44.77,1.0,0.011,0.019,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,4,-64.1872,-64.187,-64.187,1.0,0.0,0.028,-64.1872,-64.187,-64.187,1.0,0.01,0.022,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,5,-31.4485,-31.449,-31.449,1.0,0.0,0.013,-31.4485,-31.449,-31.449,1.0,0.016,0.072,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,6,-58.1344,-58.134,-58.134,1.0,0.0,0.019,-58.1344,-58.134,-58.134,1.0,0.013,0.025,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,7,-62.1876,-62.188,-62.188,1.0,0.0,0.01,-62.1876,-62.188,-62.188,1.0,0.014,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,8,-49.228,-49.228,-49.228,1.0,0.0,0.017,-49.228,-49.228,-49.228,1.0,0.012,0.022,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,9,-58.1418,-58.142,-58.142,1.0,0.0,0.031,-58.1418,-58.142,-58.142,1.0,0.012,0.021,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,10,-33.8234,-33.823,-33.823,1.0,0.001,0.046,-33.8234,-33.823,-33.823,1.0,0.016,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+C60,1,-48.411,-48.411,-48.411,2.0,0.168,0.228,-86.653,-86.653,-86.653,2.0,0.584,0.631,False,0,0,False,both,-38.242000000000004,38.242000000000004,False,0.0
AA,rooted,LG+C60,2,-46.7955,-46.796,-46.796,4.0,0.279,0.315,-87.7048,-87.705,-87.705,2.0,0.55,0.58,False,0,0,False,both,-40.90930000000001,40.90930000000001,False,-2.0
AA,rooted,LG+C60,3,-38.2773,-38.277,-38.277,3.0,0.13,0.156,-71.9325,-71.933,-71.933,2.0,0.392,0.422,False,0,0,False,both,-33.65520000000001,33.65520000000001,False,-1.0
AA,rooted,LG+C60,4,-60.1356,-60.136,-60.136,2.0,0.165,0.2,-89.5002,-89.5,-89.5,2.0,0.594,0.624,False,0,0,False,both,-29.36460000000001,29.36460000000001,False,0.0
AA,rooted,LG+C60,5,-55.6071,-55.607,-55.607,3.0,0.224,0.271,-93.4043,-93.404,-93.404,2.0,0.593,0.625,False,0,0,False,both,-37.797200000000004,37.797200000000004,False,-1.0
AA,rooted,LG+C60,6,-45.3339,-45.334,-45.334,3.0,0.179,0.216,-70.8952,-70.895,-70.895,2.0,0.588,0.617,False,0,0,False,both,-25.561300000000003,25.561300000000003,False,-1.0
AA,rooted,LG+C60,7,-42.8248,-42.825,-42.825,4.0,0.343,0.377,-96.2841,-96.284,-96.284,2.0,0.58,0.611,False,0,0,False,both,-53.45929999999999,53.45929999999999,False,-2.0
AA,rooted,LG+C60,8,-30.7472,-30.747,-30.747,2.0,0.084,0.127,-66.6042,-66.604,-66.604,2.0,0.469,0.513,False,0,0,False,both,-35.857000000000006,35.857000000000006,False,0.0
AA,rooted,LG+C60,9,-41.3954,-41.395,-41.395,3.0,0.182,0.21,-84.6761,-84.676,-84.676,2.0,0.576,0.615,False,0,0,False,both,-43.2807,43.2807,False,-1.0
AA,rooted,LG+C60,10,-34.5295,-34.529,-34.529,3.0,0.195,0.248,-79.0731,-79.073,-79.073,2.0,0.461,0.543,False,0,0,False,both,-44.5436,44.5436,False,-1.0
AA,rooted,LG+G4,1,-42.6132,-42.613,-42.613,2.0,0.005,0.026,-42.6132,-42.613,-42.613,2.0,0.034,0.043,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,2,-43.5726,-43.573,-43.573,3.0,0.007,0.034,-43.5726,-43.573,-43.573,3.0,0.041,0.048,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,3,-34.2152,-34.215,-34.215,2.0,0.005,0.029,-34.2152,-34.215,-34.215,2.0,0.032,0.04,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,4,-58.3442,-58.344,-58.344,2.0,0.004,0.026,-58.3442,-58.344,-58.344,2.0,0.029,0.037,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,5,-50.6037,-50.604,-50.604,2.0,0.004,0.019,-50.6037,-50.604,-50.604,2.0,0.037,0.045,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,6,-51.8538,-51.854,-51.854,3.0,0.006,0.028,-51.8538,-51.854,-51.854,3.0,0.053,0.062,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,7,-66.5284,-66.528,-66.528,3.0,0.007,0.035,-66.5284,-66.528,-66.528,3.0,0.052,0.062,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,8,-45.1632,-45.163,-45.163,3.0,0.01,0.039,-45.1632,-45.163,-45.163,3.0,0.054,0.062,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,9,-28.2178,-28.218,-28.218,2.0,0.006,0.031,-28.2178,-28.218,-28.218,2.0,0.028,0.036,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,10,-52.2317,-52.232,-52.232,3.0,0.005,0.022,-52.2317,-52.232,-52.232,3.0,0.046,0.054,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,1,-57.2194,-57.219,-57.219,3.0,0.002,0.026,-57.2194,-57.219,-57.219,3.0,0.025,0.033,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,2,-47.2156,-47.216,-47.216,2.0,0.003,0.023,-47.2156,-47.216,-47.216,2.0,0.029,0.037,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,3,-40.3739,-40.374,-40.374,2.0,0.002,0.025,-40.3739,-40.374,-40.374,2.0,0.021,0.029,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,4,-53.4773,-53.477,-53.477,2.0,0.001,0.025,-53.4773,-53.477,-53.477,2.0,0.019,0.027,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,5,-57.3439,-57.344,-57.344,2.0,0.001,0.017,-57.3439,-57.344,-57.344,2.0,0.022,0.039,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,6,-51.0907,-51.091,-51.091,3.0,0.003,0.025,-51.0907,-51.091,-51.091,3.0,0.036,0.044,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,7,-56.392,-56.392,-56.392,3.0,0.003,0.077,-56.392,-56.392,-56.392,3.0,0.025,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,8,-41.0619,-41.062,-41.062,3.0,0.007,0.054,-41.0619,-41.062,-41.062,3.0,0.038,0.046,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,9,-28.9629,-28.963,-28.963,2.0,0.002,0.027,-28.9629,-28.963,-28.963,2.0,0.018,0.026,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,10,-42.5409,-42.541,-42.541,3.0,0.002,0.036,-42.5409,-42.541,-42.541,3.0,0.017,0.03,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I+G4,1,-44.8068,,-44.807,,,0.113,-44.8068,,-44.807,,,0.973,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,2,-45.2131,,-45.213,,,0.065,-45.2131,,-45.213,,,0.582,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,3,-28.9853,,-28.985,,,0.036,-28.9853,,-28.985,,,0.287,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,4,-46.584,,-46.584,,,0.091,-46.584,,-46.584,,,0.744,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,5,-36.2596,,-36.26,,,0.042,-36.2596,,-36.26,,,0.364,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,6,-42.1374,,-42.137,,,0.044,-42.1374,,-42.137,,,0.374,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,7,-46.5342,,-46.534,,,0.092,-46.5342,,-46.534,,,0.965,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,8,-36.8361,,-36.836,,,0.044,-36.8361,,-36.836,,,0.354,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,9,-48.2382,,-48.238,,,0.085,-48.2382,,-48.238,,,0.598,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+I+G4,10,-42.3753,,-42.375,,,0.054,-42.3753,,-42.375,,,0.467,False,0,0,False,both,0.0,0.0,True,
AA,rooted,LG+R4,1,-60.6027,-60.603,-60.603,3.0,0.024,0.07,-60.624,-60.624013844,-60.624013844,1.0,0.0422000885,0.0508649349,False,0,0,False,both,-0.02130000000000365,0.02130000000000365,False,-2.0
AA,rooted,LG+R4,2,-48.1782,-48.178,-48.178,3.0,0.02,0.046,-48.1774,-48.1774043569,-48.1774043569,1.0,0.040199995,0.0484910011,False,0,0,False,both,0.0007999999999981355,0.0007999999999981355,True,-2.0
AA,rooted,LG+R4,3,-55.1647,-55.165,-55.165,3.0,0.021,0.051,-55.2072,-55.2072120885,-55.2072120885,3.0,0.0593080521,0.0673630238,False,0,0,False,both,-0.042499999999996874,0.042499999999996874,False,0.0
AA,rooted,LG+R4,4,-50.9005,-50.9,-50.9,3.0,0.017,0.038,-50.8853,-50.8852879701,-50.8852879701,1.0,0.0421330929,0.0503771305,False,0,0,False,both,0.015200000000000102,0.015200000000000102,False,-2.0
AA,rooted,LG+R4,5,-46.2455,-46.246,-46.246,3.0,0.022,0.054,-47.1824,-47.1824494032,-47.1824494032,1.0,0.0550608635,0.0630710125,False,0,0,False,both,-0.9369000000000014,0.9369000000000014,False,-2.0
AA,rooted,LG+R4,6,-54.0278,-54.028,-54.028,6.0,0.033,0.06,-55.5442,-55.5441625596,-55.5441625596,1.0,0.0571520329,0.0667440891,False,0,0,False,both,-1.5163999999999973,1.5163999999999973,False,-5.0
AA,rooted,LG+R4,7,-35.4523,-35.452,-35.452,2.0,0.011,0.03,-35.4442,-35.4442086887,-35.4442086887,3.0,0.0419101715,0.0502860546,False,0,0,False,both,0.008099999999998886,0.008099999999998886,True,1.0
AA,rooted,LG+R4,8,-40.5633,-40.563,-40.563,3.0,0.016,0.035,-40.5529,-40.5529432698,-40.5529432698,1.0,0.0410752296,0.0493459702,False,0,0,False,both,0.010399999999997078,0.010399999999997078,False,-2.0
AA,rooted,LG+R4,9,-68.7165,-68.716,-68.716,3.0,0.018,0.032,-68.7165,-68.7164732551,-68.7164732551,3.0,0.0633189678,0.071461916,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+R4,10,-53.2021,-53.202,-53.202,2.0,0.009,0.033,-53.2315,-53.2315194276,-53.2315194276,1.0,0.0415050983,0.0500011444,False,0,0,False,both,-0.02939999999999543,0.02939999999999543,False,-1.0
AA,unrooted,LG,1,-39.1115,-39.112,-39.112,1.0,0.0,0.016,-39.1115,-39.112,-39.112,1.0,0.013,0.023,False,0,0,False,both,0.0,0.0,True,0.0
AA,unrooted,LG,2,-34.0114,-34.011,-34.011,1.0,0.0,0.009,-34.0114,-34.011,-34.011,1.0,0.02,0.05,False,0,0,False,both,0.0,0.0,True,0.0
AA,unrooted,LG,3,-42.58,-42.58,-42.58,1.0,0.0,0.008,-42.58,-42.58,-42.58,1.0,0.017,0.035,False,0,0,False,both,0.0,0.0,True,0.0
AA,unrooted,LG,4,-33.1938,-33.194,-33.194,1.0,0.0,0.008,-33.1938,-33.194,-33.194,1.0,0.009,0.02,False,0,0,False,both,0.0,0.0,True,0.0
