data_type,tree_type,model,tree,backend,run,filename,walltime,cputime,log_likelihood,tree_length,opt_time,opt_rounds,n_underflow,first_eval_sec,overhead
AA,unrooted,LG,tree_1,VANILA,7,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run7_tree_1_1000000_aa_iqtree.log,281.219,274.13,-88901422.374,19.949,278.094,1,0,,3.125
AA,unrooted,LG,tree_1,VANILA,9,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run9_tree_1_1000000_aa_iqtree.log,291.16,284.376,-88901422.374,19.949,288.233,1,0,,2.927000000000021
AA,unrooted,LG,tree_1,OMP_48,2,output_banchmark_bl_estimation_AA_LG_OMP_48_run2_tree_1_1000000_iqtree3_aa.log,13.975,581.843,-88901422.374,19.949,12.619,1,0,,1.3559999999999999
AA,unrooted,LG,tree_10,OMP_48,8,output_banchmark_bl_estimation_AA_LG_OMP_48_run8_tree_10_1000000_iqtree3_aa.log,14.911,607.887,-86714228.485,19.208,13.499,1,0,,1.411999999999999
AA,unrooted,LG,tree_10,OMP_48,10,output_banchmark_bl_estimation_AA_LG_OMP_48_run10_tree_10_1000000_iqtree3_aa.log,14.778,604.025,-86714228.485,19.208,13.338,1,0,,1.4400000000000013
AA,unrooted,LG,tree_10,OMP_48,2,output_banchmark_bl_estimation_AA_LG_OMP_48_run2_tree_10_1000000_iqtree3_aa.log,14.853,607.484,-86714228.485,19.208,13.44,1,0,,1.4130000000000003
AA,unrooted,LG,tree_10,OMP_48,4,output_banchmark_bl_estimation_AA_LG_OMP_48_run4_tree_10_1000000_iqtree3_aa.log,14.192,578.773,-86714228.485,19.208,12.709,1,0,,1.4830000000000005
AA,unrooted,LG,tree_10,OMP_10,2,output_banchmark_bl_estimation_AA_LG_OMP_10_run2_tree_10_1000000_iqtree3_aa.log,39.915,359.601,-86714228.485,19.208,38.185,1,0,,1.7299999999999969
AA,unrooted,LG,tree_10,OMP_10,4,output_banchmark_bl_estimation_AA_LG_OMP_10_run4_tree_10_1000000_iqtree3_aa.log,39.82,379.504,-86714228.485,19.208,38.545,1,0,,1.2749999999999986
AA,unrooted,LG,tree_10,OMP_10,8,output_banchmark_bl_estimation_AA_LG_OMP_10_run8_tree_10_1000000_iqtree3_aa.log,37.073,337.883,-86714228.485,19.208,35.756,1,0,,1.3170000000000002
AA,unrooted,LG,tree_10,OMP_48,9,output_banchmark_bl_estimation_AA_LG_OMP_48_run9_tree_10_1000000_iqtree3_aa.log,15.206,617.397,-86714228.485,19.208,13.741,1,0,,1.4649999999999999
AA,unrooted,LG,tree_10,OMP_48,5,output_banchmark_bl_estimation_AA_LG_OMP_48_run5_tree_10_1000000_iqtree3_aa.log,17.178,623.24,-86714228.485,19.208,14.579,1,0,,2.599
AA,unrooted,LG,tree_10,OMP_48,3,output_banchmark_bl_estimation_AA_LG_OMP_48_run3_tree_10_1000000_iqtree3_aa.log,17.8,622.39,-86714228.485,19.208,16.456,1,0,,1.3440000000000012
AA,unrooted,LG,tree_10,OMP_10,5,output_banchmark_bl_estimation_AA_LG_OMP_10_run5_tree_10_1000000_iqtree3_aa.log,35.728,327.96,-86714228.485,19.208,34.515,1,0,,1.213000000000001
AA,unrooted,LG,tree_10,OMP_10,3,output_banchmark_bl_estimation_AA_LG_OMP_10_run3_tree_10_1000000_iqtree3_aa.log,38.058,363.066,-86714228.485,19.208,36.838,1,0,,1.2199999999999989
AA,unrooted,LG,tree_10,OMP_10,9,output_banchmark_bl_estimation_AA_LG_OMP_10_run9_tree_10_1000000_iqtree3_aa.log,38.355,364.685,-86714228.485,19.208,37.102,1,0,,1.2530000000000001
AA,unrooted,LG,tree_10,OMP_48,6,output_banchmark_bl_estimation_AA_LG_OMP_48_run6_tree_10_1000000_iqtree3_aa.log,19.722,673.613,-86714228.485,19.208,18.343,1,0,,1.3790000000000013
AA,unrooted,LG,tree_10,OMP_10,10,output_banchmark_bl_estimation_AA_LG_OMP_10_run10_tree_10_1000000_iqtree3_aa.log,38.422,365.875,-86714228.485,19.208,37.18,1,0,,1.2419999999999973
AA,unrooted,LG,tree_10,OMP_10,6,output_banchmark_bl_estimation_AA_LG_OMP_10_run6_tree_10_1000000_iqtree3_aa.log,60.973,401.914,-86714228.485,19.208,59.613,1,0,,1.3599999999999994
AA,unrooted,LG,tree_10,OMP_48,7,output_banchmark_bl_estimation_AA_LG_OMP_48_run7_tree_10_1000000_iqtree3_aa.log,19.436,647.328,-86714228.485,19.208,18.06,1,0,,1.3760000000000012
AA,unrooted,LG,tree_10,OMP_48,1,output_banchmark_bl_estimation_AA_LG_OMP_48_run1_tree_10_1000000_iqtree3_aa.log,18.123,637.409,-86714228.485,19.208,16.807,1,0,,1.3160000000000025
AA,unrooted,LG,tree_10,OMP_10,7,output_banchmark_bl_estimation_AA_LG_OMP_10_run7_tree_10_1000000_iqtree3_aa.log,38.159,364.041,-86714228.485,19.208,36.912,1,0,,1.2469999999999999
AA,unrooted,LG,tree_10,OMP_10,1,output_banchmark_bl_estimation_AA_LG_OMP_10_run1_tree_10_1000000_iqtree3_aa.log,38.309,365.436,-86714228.485,19.208,37.065,1,0,,1.2439999999999998
AA,unrooted,LG,tree_2,OMP_10,4,output_banchmark_bl_estimation_AA_LG_OMP_10_run4_tree_2_1000000_iqtree3_aa.log,30.583,288.504,-90504713.177,20.312,29.308,1,0,,1.2749999999999986
AA,unrooted,LG,tree_2,VANILA,2,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run2_tree_2_1000000_aa_iqtree.log,219.924,213.314,-90504713.177,20.312,217.055,1,0,,2.8689999999999998
AA,unrooted,LG,tree_2,OMP_48,9,output_banchmark_bl_estimation_AA_LG_OMP_48_run9_tree_2_1000000_iqtree3_aa.log,11.555,459.643,-90504713.177,20.312,10.044,1,0,,1.5109999999999992
