data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,unrooted,GTR+I+G4,9,-35.5528,,-35.553,,,0.066,-7097.8271,,-7097.827,,,0.201,True,50,32,False,both,-7062.2743,7062.2743,False,
DNA,unrooted,GTR+I+G4,10,-25.2858,,-25.286,,,0.039,-7097.8271,,-7097.827,,,0.185,True,50,32,False,both,-7072.541300000001,7072.541300000001,False,
DNA,unrooted,GTR+R4,1,-27.5626,-27.563,-27.563,3.0,0.004,0.021,-27.6536,-27.6535872084,-27.654,6.0,0.119,0.128,False,0,0,False,both,-0.09100000000000108,0.09100000000000108,False,3.0
DNA,unrooted,GTR+R4,2,-26.4594,-26.459,-26.459,15.0,0.018,0.03,-7097.8271,-7097.8271289338,-7097.827,1.0,0.046,0.071,True,5,267,True,both,-7071.367700000001,7071.367700000001,False,-14.0
DNA,unrooted,GTR+R4,3,-28.9404,-28.94,-28.94,4.0,0.006,0.019,-7097.8271,-7097.8271289338,-7097.827,1.0,0.044,0.056,True,5,251,True,both,-7068.8867,7068.8867,False,-3.0
DNA,unrooted,GTR+R4,4,-24.2497,-24.25,-24.25,5.0,0.007,0.167,-7097.8271,-7097.8271289338,-7097.827,1.0,0.044,0.053,True,5,251,True,both,-7073.5774,7073.5774,False,-4.0
DNA,unrooted,GTR+R4,5,-20.6613,-20.661,-20.661,4.0,0.005,0.014,-7097.8271,-7097.8271289338,-7097.827,1.0,0.051,0.06,True,5,267,True,both,-7077.165800000001,7077.165800000001,False,-3.0
DNA,unrooted,GTR+R4,6,-18.461,-18.461,-18.461,3.0,0.004,0.012,-7097.8271,-7097.8271289338,-7097.827,1.0,0.049,0.063,True,3,251,True,both,-7079.3661,7079.3661,False,-2.0
DNA,unrooted,GTR+R4,7,-38.0644,-38.064,-38.064,8.0,0.011,0.021,-7097.8271,-7097.8271289338,-7097.827,1.0,0.058,0.072,True,5,251,True,both,-7059.7627,7059.7627,False,-7.0
DNA,unrooted,GTR+R4,8,-13.4918,-13.492,-13.492,2.0,0.001,0.009,-7097.8271,-7097.8271289338,-7097.827,1.0,0.052,0.075,True,5,251,True,both,-7084.335300000001,7084.335300000001,False,-1.0
DNA,unrooted,GTR+R4,9,-26.2491,-26.249,-26.249,3.0,0.004,0.012,-7097.8271,-7097.8271289338,-7097.827,1.0,0.048,0.107,True,5,251,True,both,-7071.578,7071.578,False,-2.0
DNA,unrooted,GTR+R4,10,-19.7978,-19.798,-19.798,12.0,0.012,0.05,-7097.8271,-7097.8271289338,-7097.827,1.0,0.041,0.066,True,5,251,True,both,-7078.0293,7078.0293,False,-11.0
