backend,taxa,sites,patterns,likelihood,time,treefile,run_number
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.302388615000000,tree_1,run9
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.327171527000000,tree_1,run2
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.275145033000000,tree_1,run10
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.288577450000000,tree_1,run4
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.311187336000000,tree_1,run8
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.286583574000000,tree_1,run3
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.310765900000000,tree_1,run5
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.293595962000000,tree_1,run6
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.305870288000000,tree_1,run1
PROTOTYPE_GPU_V100,100,1000000,1000000,-110413195.778517276048660,1.364586241000000,tree_1,run7
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.311550095000000,tree_2,run7
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.256559478000000,tree_2,run1
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.251220481000000,tree_2,run6
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.305578037000000,tree_2,run5
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.321518561000000,tree_2,run8
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.262733880000000,tree_2,run3
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.245396171000000,tree_2,run4
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.256139040000000,tree_2,run10
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.283290203000000,tree_2,run9
PROTOTYPE_GPU_V100,100,1000000,1000000,-99186349.700422123074532,1.439183019000000,tree_2,run2
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.253666790000000,tree_3,run6
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.285817191000000,tree_3,run7
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.309499908000000,tree_3,run1
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.271769885000000,tree_3,run10
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.267104878000000,tree_3,run4
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.272670646000000,tree_3,run9
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.288354100000000,tree_3,run2
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.279709645000000,tree_3,run5
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.283042739000000,tree_3,run8
PROTOTYPE_GPU_V100,100,1000000,1000000,-112041381.325586110353470,1.258768826000000,tree_3,run3
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.277823829000000,tree_4,run2
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.269090509000000,tree_4,run9
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.261547161000000,tree_4,run4
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.309663347000000,tree_4,run10
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.243521704000000,tree_4,run3
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.302944541000000,tree_4,run8
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.283086030000000,tree_4,run5
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.297982508000000,tree_4,run6
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.314056721000000,tree_4,run1
PROTOTYPE_GPU_V100,100,1000000,1000000,-97277284.227406084537506,1.323579319000000,tree_4,run7
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.258804353000000,tree_5,run3
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.293265865000000,tree_5,run8
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.306808313000000,tree_5,run5
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.301805560000000,tree_5,run2
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.267104058000000,tree_5,run9
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.316290532000000,tree_5,run10
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.263986415000000,tree_5,run4
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.304147424000000,tree_5,run1
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.302882691000000,tree_5,run7
PROTOTYPE_GPU_V100,100,1000000,1000000,-109757143.329428479075432,1.278948374000000,tree_5,run6
PROTOTYPE_GPU_V100,100,1000000,1000000,-102915332.041291579604149,1.281992505000000,tree_6,run6
PROTOTYPE_GPU_V100,100,1000000,1000000,-102915332.041291579604149,1.285676567000000,tree_6,run7
PROTOTYPE_GPU_V100,100,1000000,1000000,-102915332.041291579604149,1.299262089000000,tree_6,run1
PROTOTYPE_GPU_V100,100,1000000,1000000,-102915332.041291579604149,1.271661594000000,tree_6,run4
