data_type,model,tree,backend,logl_mean,logl_std,logl_min,logl_max,tree_length_mean,tree_length_std,n_runs
AA,LG,tree_7,GPU_MAXREG,-87134163.126,0.0,-87134163.126,-87134163.126,19.77,0.0,10
AA,LG,tree_7,GPU_TIP_STATE,-87134163.126,0.0,-87134163.126,-87134163.126,19.77,0.0,10
AA,LG,tree_7,OMP_10,-87134163.126,0.0,-87134163.126,-87134163.126,19.77,0.0,10
AA,LG,tree_7,OMP_48,-87134163.126,0.0,-87134163.126,-87134163.126,19.77,0.0,10
AA,LG,tree_7,OPENACC,-87134163.126,0.0,-87134163.126,-87134163.126,19.77,0.0,17
AA,LG,tree_8,GPU_TIP_STATE,-81931521.002,0.0,-81931521.002,-81931521.002,18.249,0.0,10
AA,LG,tree_8,OMP_10,-81931521.002,0.0,-81931521.002,-81931521.002,18.249,0.0,10
AA,LG,tree_8,OMP_48,-81931521.002,0.0,-81931521.002,-81931521.002,18.249,0.0,10
AA,LG,tree_9,GPU_TIP_STATE,-82340194.25,0.0,-82340194.25,-82340194.25,18.008,0.0,10
AA,LG,tree_9,OMP_10,-82340194.25,0.0,-82340194.25,-82340194.25,18.008,0.0,10
AA,LG,tree_9,OMP_48,-82340194.25,0.0,-82340194.25,-82340194.25,18.008,0.0,10
DNA,GTR,tree_1,GPU_MAXREG,-64343405.643,0.0,-64343405.643,-64343405.643,18.844,0.0,10
DNA,GTR,tree_1,GPU_TIP_STATE,-64343405.643,0.0,-64343405.643,-64343405.643,18.844,0.0,10
DNA,GTR,tree_1,OMP_10,-64343405.643,0.0,-64343405.643,-64343405.643,18.844,0.0,10
DNA,GTR,tree_1,OMP_48,-64343405.643,0.0,-64343405.643,-64343405.643,18.844,0.0,10
DNA,GTR,tree_1,OPENACC,-64343405.643,0.0,-64343405.643,-64343405.643,18.844,0.0,20
DNA,GTR,tree_1,VANILA,-64343405.643,0.0,-64343405.643,-64343405.643,18.844,0.0,10
DNA,GTR,tree_10,OMP_10,-68972398.54,0.0,-68972398.54,-68972398.54,20.7,0.0,10
DNA,GTR,tree_10,OMP_48,-68972398.54,0.0,-68972398.54,-68972398.54,20.7,0.0,10
DNA,GTR,tree_2,GPU_MAXREG,-66217786.827,0.0,-66217786.827,-66217786.827,19.418,0.0,10
DNA,GTR,tree_2,GPU_TIP_STATE,-66217786.827,0.0,-66217786.827,-66217786.827,19.418,0.0,10
DNA,GTR,tree_2,OMP_10,-66217786.827,0.0,-66217786.827,-66217786.827,19.418,0.0,10
DNA,GTR,tree_2,OMP_48,-66217786.827,0.0,-66217786.827,-66217786.827,19.418,0.0,10
DNA,GTR,tree_2,OPENACC,-66217786.827,0.0,-66217786.827,-66217786.827,19.418,0.0,20
DNA,GTR,tree_2,VANILA,-66217786.827,0.0,-66217786.827,-66217786.827,19.418,0.0,10
DNA,GTR,tree_3,GPU_MAXREG,-66775543.576,0.0,-66775543.576,-66775543.576,19.731,0.0,10
DNA,GTR,tree_3,GPU_TIP_STATE,-66775543.576,0.0,-66775543.576,-66775543.576,19.731,0.0,10
DNA,GTR,tree_3,OMP_10,-66775543.576,0.0,-66775543.576,-66775543.576,19.731,0.0,10
DNA,GTR,tree_3,OMP_48,-66775543.576,0.0,-66775543.576,-66775543.576,19.731,0.0,10
DNA,GTR,tree_3,OPENACC,-66775543.576,0.0,-66775543.576,-66775543.576,19.731,0.0,20
DNA,GTR,tree_3,VANILA,-66775543.576,0.0,-66775543.576,-66775543.576,19.731,0.0,10
DNA,GTR,tree_4,GPU_MAXREG,-68796842.673,0.0,-68796842.673,-68796842.673,20.6,0.0,10
DNA,GTR,tree_4,GPU_TIP_STATE,-68796842.673,0.0,-68796842.673,-68796842.673,20.6,0.0,10
DNA,GTR,tree_4,OMP_10,-68796842.673,0.0,-68796842.673,-68796842.673,20.6,0.0,10
DNA,GTR,tree_4,OMP_48,-68796842.673,0.0,-68796842.673,-68796842.673,20.6,0.0,10
DNA,GTR,tree_4,OPENACC,-68796842.673,0.0,-68796842.673,-68796842.673,20.6,0.0,20
DNA,GTR,tree_4,VANILA,-68796842.673,0.0,-68796842.673,-68796842.673,20.6,0.0,10
DNA,GTR,tree_5,GPU_MAXREG,-68054876.562,0.0,-68054876.562,-68054876.562,20.138,0.0,10
DNA,GTR,tree_5,GPU_TIP_STATE,-68054876.562,0.0,-68054876.562,-68054876.562,20.138,0.0,10
DNA,GTR,tree_5,OMP_10,-68054876.562,0.0,-68054876.562,-68054876.562,20.138,0.0,10
DNA,GTR,tree_5,OMP_48,-68054876.562,0.0,-68054876.562,-68054876.562,20.138,0.0,10
DNA,GTR,tree_5,OPENACC,-68054876.562,0.0,-68054876.562,-68054876.562,20.138,0.0,10
DNA,GTR,tree_6,GPU_TIP_STATE,-62743967.673,0.0,-62743967.673,-62743967.673,17.749,0.0,10
DNA,GTR,tree_6,OMP_10,-62743967.673,0.0,-62743967.673,-62743967.673,17.749,0.0,10
DNA,GTR,tree_6,OMP_48,-62743967.673,0.0,-62743967.673,-62743967.673,17.749,0.0,10
DNA,GTR,tree_7,GPU_TIP_STATE,-67994364.745,0.0,-67994364.745,-67994364.745,19.714,0.0,10
DNA,GTR,tree_7,OMP_10,-67994364.745,0.0,-67994364.745,-67994364.745,19.714,0.0,10
DNA,GTR,tree_7,OMP_48,-67994364.745,0.0,-67994364.745,-67994364.745,19.714,0.0,10
DNA,GTR,tree_8,GPU_TIP_STATE,-67533437.34,0.0,-67533437.34,-67533437.34,19.722,0.0,10
DNA,GTR,tree_8,OMP_10,-67533437.34,0.0,-67533437.34,-67533437.34,19.722,0.0,10
DNA,GTR,tree_8,OMP_48,-67533437.34,0.0,-67533437.34,-67533437.34,19.722,0.0,10
DNA,GTR,tree_9,OMP_10,-72937485.322,0.0,-72937485.322,-72937485.322,22.502,0.0,10
DNA,GTR,tree_9,OMP_48,-72937485.322,0.0,-72937485.322,-72937485.322,22.502,0.0,10
