data_type,length,length_label,system,hardware,kind,threads,config_label,wall_total_sec,cpu_total_sec,wall_treesearch_sec,wall_total_min,wall_treesearch_min,best_lnl,iterations,completed,model
DNA,10000,10K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,104,SPR 104T,303.553,29166.486,245.735,5.059216666666667,4.095583333333334,-564208.776,102.0,True,GTR+I+G4
DNA,10000,10K,GPU_A100,GPU_A100,GPU,1,GPU A100,646.964,545.93,435.813,10.782733333333335,7.2635499999999995,-564208.775,102.0,True,GTR+I+G4
DNA,10000,10K,GPU_H200,GPU_H200,GPU,1,GPU H200,275.252,274.99,201.612,4.587533333333334,3.3602,-564208.776,102.0,True,GTR+I+G4
DNA,10000,10K,GPU_V100,GPU_V100,GPU,1,GPU V100,393.366,392.924,252.778,6.5561,4.2129666666666665,-564208.776,102.0,True,GTR+I+G4
DNA,100000,100K,CLANG_MASTER,CLANG_MASTER,CPU,1,CLX 1T,8784.339,8717.223,4987.753,146.40565,83.12921666666666,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,CLANG_MASTER,CLANG_MASTER,CPU,10,CLX 10T,1702.284,16089.183,1116.352,28.3714,18.605866666666667,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,CLANG_MASTER,CLANG_MASTER,CPU,48,CLX 48T,639.938,26998.253,500.806,10.665633333333334,8.346766666666666,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,1,SPR 1T,11886.745,11796.068,7627.512,198.1124166666667,127.1252,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,10,SPR 10T,1331.094,11578.393,923.264,22.184900000000003,15.387733333333331,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,48,SPR 48T,606.363,26148.002,437.037,10.106050000000002,7.28395,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,104,SPR 104T,518.547,46478.912,408.803,8.64245,6.813383333333333,-5692984.539,102.0,True,GTR+I+G4
DNA,100000,100K,GPU_A100,GPU_A100,GPU,1,GPU A100,958.752,813.285,540.329,15.979199999999999,9.005483333333332,-5692984.529,102.0,True,GTR+I+G4
DNA,100000,100K,GPU_H200,GPU_H200,GPU,1,GPU H200,516.057,509.792,298.09,8.600950000000001,4.968166666666666,-5692984.527,102.0,True,GTR+I+G4
DNA,100000,100K,GPU_V100,GPU_V100,GPU,1,GPU V100,1000.451,990.662,581.892,16.674183333333335,9.698200000000002,-5692984.529,102.0,True,GTR+I+G4
DNA,1000000,1M,CLANG_MASTER,CLANG_MASTER,CPU,1,CLX 1T,,,,,,,,False,GTR+I+G4
DNA,1000000,1M,CLANG_MASTER,CLANG_MASTER,CPU,10,CLX 10T,39005.638,362466.458,17630.041,650.0939666666667,293.8340166666667,-59208019.212,102.0,True,GTR+I+G4
DNA,1000000,1M,CLANG_MASTER,CLANG_MASTER,CPU,48,CLX 48T,13189.629,579639.035,7125.298,219.82715,118.75496666666666,-59208019.212,102.0,True,GTR+I+G4
DNA,1000000,1M,NORMALSR_MASTER,NORMALSR_MASTER,CPU,1,SPR 1T,128218.893,126947.635,53953.899,2136.98155,899.23165,-59208019.212,102.0,True,GTR+I+G4
DNA,1000000,1M,NORMALSR_MASTER,NORMALSR_MASTER,CPU,10,SPR 10T,28920.797,270884.901,13952.68,482.0132833333333,232.54466666666667,-59208019.212,102.0,True,GTR+I+G4
DNA,1000000,1M,NORMALSR_MASTER,NORMALSR_MASTER,CPU,48,SPR 48T,8851.158,391072.608,4952.091,147.5193,82.53485,-59208019.212,102.0,True,GTR+I+G4
DNA,1000000,1M,NORMALSR_MASTER,NORMALSR_MASTER,CPU,104,SPR 104T,5012.118,442355.54,3004.801,83.5353,50.080016666666666,-59208019.212,102.0,True,GTR+I+G4
DNA,1000000,1M,GPU_A100,GPU_A100,GPU,1,GPU A100,4523.878,3837.279,2472.475,75.39796666666666,41.20791666666666,-59208019.248,102.0,True,GTR+I+G4
DNA,1000000,1M,GPU_H200,GPU_H200,GPU,1,GPU H200,2673.447,2605.771,1571.067,44.55745,26.184450000000002,-59208019.245,102.0,True,GTR+I+G4
DNA,1000000,1M,GPU_V100,GPU_V100,GPU,1,GPU V100,6975.073,6864.801,4102.941,116.25121666666668,68.38235,-59208019.245,102.0,True,GTR+I+G4
