data_type,length,length_label,system,threads,model,wall_total_sec,cpu_total_sec,wall_treesearch_sec,cpu_treesearch_sec,wall_total_min,wall_treesearch_min,best_lnl,iterations,completed,filename
AA,1000000,1M,NORMALSR_MASTER,10,LG+I+G4,92611.276,862570.183,59202.886,559858.115,1543.5212666666666,986.7147666666666,-78605196.573,102.0,True,output_NORMALSR_MASTER_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_1000000len_aa.log
AA,1000000,1M,NORMALSR_MASTER,48,LG+I+G4,36825.726,1571492.311,25537.946,1074174.984,613.7621,425.6324333333333,-78605196.573,102.0,True,output_NORMALSR_MASTER_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_1000000len_aa.log
AA,1000000,1M,NORMALSR_MASTER,104,LG+I+G4,29235.971,2625074.204,22002.277,1946854.554,487.26618333333334,366.70461666666665,-78605196.573,102.0,True,output_NORMALSR_MASTER_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP104_LG-I-G4_100taxa_1000000len_aa.log
DNA,10000,10K,CLANG_MASTER,1,GTR+I+G4,732.222,727.855,420.52,420.342,12.2037,7.008666666666667,-564208.776,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree.log
DNA,10000,10K,CLANG_MASTER,10,GTR+I+G4,129.12,1277.782,88.643,880.558,2.152,1.4773833333333333,-564208.776,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_10000len.log
DNA,10000,10K,CLANG_MASTER,48,GTR+I+G4,191.832,8828.269,149.773,7152.869,3.1972,2.4962166666666668,-564208.776,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_10000len.log
DNA,10000,10K,NORMALSR_MASTER,1,GTR+I+G4,584.698,581.467,343.231,343.082,9.744966666666667,5.720516666666667,-564208.776,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree.log
DNA,10000,10K,NORMALSR_MASTER,10,GTR+I+G4,103.923,1030.484,68.943,686.168,1.73205,1.14905,-564208.776,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_10000len.log
DNA,10000,10K,NORMALSR_MASTER,48,GTR+I+G4,216.048,9707.902,176.92,8178.983,3.6008,2.9486666666666665,-564208.777,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_10000len.log
DNA,10000,10K,NORMALSR_MASTER,104,GTR+I+G4,303.553,29166.486,245.735,25416.98,5.059216666666667,4.095583333333334,-564208.776,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP104_GTR-I-G4_100taxa_10000len.log
DNA,100000,100K,CLANG_MASTER,1,GTR+I+G4,8784.339,8717.223,4987.753,4966.106,146.40565,83.12921666666666,-5692984.539,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree.log
DNA,100000,100K,CLANG_MASTER,10,GTR+I+G4,1702.284,16089.183,1116.352,10393.807,28.3714,18.605866666666667,-5692984.539,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_100000len.log
DNA,100000,100K,CLANG_MASTER,48,GTR+I+G4,639.938,26998.253,500.806,20740.125,10.665633333333334,8.346766666666666,-5692984.539,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_100000len.log
DNA,100000,100K,NORMALSR_MASTER,1,GTR+I+G4,11886.745,11796.068,7627.512,7621.201,198.1124166666667,127.12519999999999,-5692984.539,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree.log
DNA,100000,100K,NORMALSR_MASTER,10,GTR+I+G4,1331.094,11578.393,923.264,7982.031,22.184900000000003,15.387733333333333,-5692984.539,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_100000len.log
DNA,100000,100K,NORMALSR_MASTER,48,GTR+I+G4,606.363,26148.002,437.037,18465.343,10.106050000000002,7.28395,-5692984.539,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_100000len.log
DNA,100000,100K,NORMALSR_MASTER,104,GTR+I+G4,518.547,46478.912,408.803,37368.346,8.64245,6.813383333333333,-5692984.539,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP104_GTR-I-G4_100taxa_100000len.log
DNA,1000000,1M,CLANG_MASTER,1,GTR+I+G4,,,,,,,,,False,output_CLANG_MASTER_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_1000000len_CLANG_VANILA_run1_tree_1_1000000_iqtree.log
DNA,1000000,1M,CLANG_MASTER,10,GTR+I+G4,39005.638,362466.458,17630.041,166372.176,650.0939666666667,293.8340166666667,-59208019.212,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_1000000len.log
DNA,1000000,1M,CLANG_MASTER,48,GTR+I+G4,13189.629,579639.035,7125.298,296354.252,219.82715000000002,118.75496666666666,-59208019.212,102.0,True,output_CLANG_MASTER_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_1000000len.log
DNA,1000000,1M,NORMALSR_MASTER,1,GTR+I+G4,128218.893,126947.635,53953.899,53438.287,2136.98155,899.23165,-59208019.212,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_1000000len_CLANG_VANILA_run1_tree_1_1000000_iqtree.log
DNA,1000000,1M,NORMALSR_MASTER,10,GTR+I+G4,28920.797,270884.901,13952.68,125829.615,482.01328333333333,232.54466666666667,-59208019.212,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_1000000len.log
DNA,1000000,1M,NORMALSR_MASTER,48,GTR+I+G4,8851.158,391072.608,4952.091,208423.929,147.5193,82.53485,-59208019.212,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_1000000len.log
DNA,1000000,1M,NORMALSR_MASTER,104,GTR+I+G4,5012.118,442355.54,3004.801,246883.899,83.5353,50.080016666666666,-59208019.212,102.0,True,output_NORMALSR_MASTER_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP104_GTR-I-G4_100taxa_1000000len.log
