sm,pct,model,mf_wall_s,ts_wall_s,wall_s,cpu_s,best_logL,mf_cpu_J,mf_gpu_J,ts_cpu_J,ts_gpu_J,cpu_J,gpu_J,gpu_mem_peak_MB,measured_W,total_J,gpu_W,cpu_W,gpu_Wh,cpu_Wh,total_Wh,speedup,ts_speedup,mf_speedup,ideal,efficiency,edp_Js
8,6.0606,F81+F+G4,6780.853,9628.888,16469.507,16434.537,-59208019.245,1830648.11,1048778.838,2595802.184,1458792.892,4445637.149,2517508.779,30944.75,152.81250324491324,6963145.928,152.85878192953803,269.9314040790656,699.3079941666667,1234.8992080555556,1934.2072022222223,1.0,1.0,1.0,1.0,1.0,41462128458.301956
16,12.1212,F81+F+G4,4029.848,5674.397,9745.141,9712.958,-59208019.245,1070519.665,716534.209,1408114.502,980298.827,2492101.879,1704548.493,30964.75,174.7565542499304,4196650.372,174.91265575326207,255.7276368807799,473.4856925,692.2505219444445,1165.7362144444446,1.6900224429795323,1.6969006574619296,1.6826572615145783,2.0,0.8450112214897662,16611065405.622513
33,25.0,F81+F+G4,1970.549,2698.29,4696.13,4665.016,-59208019.245,508310.434,470997.424,695875.017,623134.497,1214055.614,1100346.14,31030.75,233.78530229177355,2314401.7539999997,234.3091311356372,258.5225736936584,305.6517055555555,337.23767055555555,642.889376111111,3.507038135656381,3.5685148742351642,3.441098394406838,4.125,0.8501910631894257,5167368518.4382
66,50.0,F81+F+G4,1141.502,1508.708,2671.303,2642.312,-59208019.245,308747.282,340379.622,407116.011,436511.388,724386.753,781948.346,31160.75,291.5104491601679,1506335.099,292.72169649043934,271.1735632386143,217.20787388888888,201.2185425,418.42641638888887,6.165345900483772,6.382207822852401,5.940290073955192,8.25,0.7473146546040936,2088820962.514838
132,100.0,F81+F+G4,762.523,971.357,1753.444,1722.589,-59208019.245,252994.245,289776.25,321516.402,364364.096,584784.398,659180.338,31402.75,373.33077834757836,1243964.736,375.93463948663316,333.5061729944042,183.10564944444445,162.44011055555558,345.54576000000003,9.392662098133732,9.912820929894982,8.892653729789133,16.5,0.5692522483717414,1155835808.5840719
