file,variant,cpu,dataset,datatype,taxa,sites,status,n_wallclock_lines,wall_total_s,wall_mf_s,wall_tree_s,bash_walltime_s,best_logL,best_model,n_sequences,n_columns,distinct_patterns,host,has_contree,has_splits_nex,has_boottrees,has_iqtree,support_n,support_median,support_mean,support_ge95,support_ge70,support_lt70
output_cpu_bootstrap_DNA_Butterfly_OMP_104_taxa61_run1_tree_1_5267461_iqtree3_DNA_INTEL_VANILA_OMP104_Butterfly_61taxa_5267461len_ninit2_optalg2BFGS_BOOT100_5267461.log,BOOT100,OMP_104,Butterfly,DNA,61,5267461,STILL_RUNNING,57,168720.393,71487.703,7063.151,345759.212202,-82925690.301,GTR+F+I+R8,61.0,5267461.0,3762723.0,gadi-cpu-spr-0595.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_DNA_Butterfly_OMP_104_taxa61_run1_tree_1_5267461_iqtree3_DNA_INTEL_VANILA_OMP104_Butterfly_61taxa_5267461len_ninit2_optalg2BFGS_UFBOOT1000_5267461.log,UFBOOT1000,OMP_104,Butterfly,DNA,61,5267461,COMPLETE,1,81424.86,72234.702,8377.486,,-82918692.613,GTR+F+I+R8,61.0,5267461.0,3762723.0,gadi-cpu-spr-0068.gadi.nci.org.au,True,True,False,True,58,100.0,100.0,58.0,58.0,0.0
output_cpu_bootstrap_DNA_Butterfly_OMP_48_taxa61_run1_tree_1_5267461_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Butterfly_61taxa_5267461len_ninit2_optalg2BFGS_BOOT100_5267461.log,BOOT100,OMP_48,Butterfly,DNA,61,5267461,STILL_RUNNING,0,,,,570.9781,,,61.0,5267461.0,3762723.0,gadi-cpu-clx-0561.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_DNA_InsectsA_OMP_104_taxa174_run1_tree_1_3011544_iqtree3_DNA_INTEL_VANILA_OMP104_InsectsA_174taxa_3011544len_ninit2_optalg2BFGS_BOOT100_3011544.log,BOOT100,OMP_104,InsectsA,DNA,174,3011544,CRASHED,0,,,,,,,,,,gadi-cpu-spr-0024.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_DNA_InsectsA_OMP_104_taxa174_run1_tree_1_3011544_iqtree3_DNA_INTEL_VANILA_OMP104_InsectsA_174taxa_3011544len_ninit2_optalg2BFGS_UFBOOT1000_3011544.log,UFBOOT1000,OMP_104,InsectsA,DNA,174,3011544,CRASHED,0,,,,,,,,,,gadi-cpu-spr-0143.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_DNA_InsectsA_OMP_48_taxa174_run1_tree_1_3011544_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_InsectsA_174taxa_3011544len_ninit2_optalg2BFGS_UFBOOT1000_3011544.log,UFBOOT1000,OMP_48,InsectsA,DNA,174,3011544,CRASHED,0,,,,,,,,,,gadi-cpu-clx-1001.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_DNA_InsectsB_OMP_104_taxa48_run1_tree_1_2938039_iqtree3_DNA_INTEL_VANILA_OMP104_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_BOOT100_2938039.log,BOOT100,OMP_104,InsectsB,DNA,48,2938039,COMPLETE,119,37141.323,9933.134,1783.161,172872.564241,-26723945.942,GTR+F+I+R6,48.0,2938039.0,1396402.0,gadi-cpu-spr-0690.gadi.nci.org.au,True,False,True,True,45,100.0,91.2,34.0,38.0,7.0
output_cpu_bootstrap_DNA_InsectsB_OMP_104_taxa48_run1_tree_1_2938039_iqtree3_DNA_INTEL_VANILA_OMP104_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_UFBOOT1000_2938039.log,UFBOOT1000,OMP_104,InsectsB,DNA,48,2938039,COMPLETE,1,13115.46,10073.849,2448.847,,-26711760.127,GTR+F+I+R6,48.0,2938039.0,1396402.0,gadi-cpu-spr-0716.gadi.nci.org.au,True,True,False,True,45,100.0,99.91111111111111,45.0,45.0,0.0
output_cpu_bootstrap_DNA_InsectsB_OMP_48_taxa48_run1_tree_1_2938039_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_BOOT100_2938039.log,BOOT100,OMP_48,InsectsB,DNA,48,2938039,STILL_RUNNING,0,,,,847.968786,,,48.0,2938039.0,1396402.0,gadi-cpu-clx-1003.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_104_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_OMP104_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_BOOT100_3226.log,BOOT100,OMP_104,Lassa_Virus,DNA,179,3226,COMPLETE,101,28064.322,32.448,371.301,,-63266.813,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-spr-0040.gadi.nci.org.au,True,False,True,True,176,96.0,81.13068181818181,93.0,129.0,47.0
