cell,datatype,sites,fix_rep,spr_wall_h,h200_old_wall_h,h200_fix_wall_h,spr_mem_gb,h200_old_mem_gb,h200_fix_mem_gb,spr_energy_mj,h200_old_energy_mj,h200_fix_energy_mj,speedup_old,speedup_fix,energy_pct_old,energy_pct_fix,mem_pct_old,mem_pct_fix
AA 100k,AA,100000,test_3,0.2108725,0.29311777777777775,0.2922266666666667,6.28240234375,13.10028125,9.524109375,0.525947867,0.656437253,0.616939902,0.719412181678961,0.7216059451567276,124.81032706612346,117.30058066762729,208.52343630988096,151.59979978797423
DNA 100k,DNA,100000,test_3,0.034804166666666664,0.1075461111111111,0.10362083333333334,1.54591015625,3.016296875,2.988953125,0.086197907,0.176298532,0.169927057,0.3236208758000444,0.3358800112589971,204.52762501530344,197.1359432195958,195.11462957956098,193.34584955767866
AA 1M,AA,1000000,test_2,4.361431388888889,2.2494408333333333,2.250445833333333,61.534419921875,101.926453125,77.5260625,10.852319277000001,5.845956649000001,5.502281906,1.9388958021295908,1.9380299335748905,53.86826999634725,50.701437780782314,165.64136503506055,125.98812599262043
DNA 1M,DNA,1000000,test_3,0.9130172222222223,0.4829880555555556,0.48263222222222224,15.22201953125,30.6041875,17.348328125,2.2826559040000003,1.1213754599999999,1.110715937,1.8903515557378059,1.8917452672727566,49.12590890440225,48.658929935678984,201.05208403636075,113.96863661477244
DNA 10M,DNA,10000000,test_2,25.00463638888889,3.164646388888889,3.1633277777777775,147.3227802734375,138.028015625,122.8385625,61.39809942,8.350244234,8.011143964,7.901241818574254,7.904535396093075,13.600167289999153,13.047869624105052,93.69088430778592,83.38056224027693
