datatype,dataset,taxa,sites,cpu_OMP_48,cpu_OMP_104,openACC_V100,openACC_A100,openACC_H200
AA,Green_plants,360,19449,1.0,1.394693838184468,,,3.10283337532787
AA,Yeast_nc,23,634530,1.0,2.232952971329784,,,8.768744689234182
DNA,Birds,200,394686,1.0,3.350484859656513,1.7807898587594022,3.1560162169719,7.860032937304224
DNA,InsectsB,48,2938039,1.0,2.4000026106369887,1.9713617271028565,2.1903321436885888,7.791231224473185
DNA,Lassa_Virus,179,3226,1.0,3.902715784243804,,,
DNA,Mammal,37,1409139,1.0,4.070674643670052,2.136240051118549,4.082177744039823,6.088647116926271
DNA,Mammal_B,274,7463,1.0,1.5486387787833271,0.25855547963390796,0.2211553733158755,0.3919272375283826
DNA,Plants,16,4246454,1.0,1.8389657856815536,0.7621892755884971,0.9757754549609197,2.405736284055124
