file,datatype,dataset,taxa,sites,hardware,status,host,best_model,n_sequences,n_columns,distinct_patterns,wall_total_s,wall_tree_s,wall_mf_s,best_logL,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,bash_walltime_s,energy_cpu_total_J,energy_gpu_total_J,logL_ref,delta_logL,rel_diff
output_openacc_stable_bfgs_AA_Green_plants_OPENACC_taxa360_run1_tree_1_19449_iqtree3_AA_OPENACC_V100_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_rerun_OPENACC_run1_19449_aa_iqtree.log,AA,Green_plants,360,19449,openACC_V100,COMPLETE,gadi-gpu-v100-0003.gadi.nci.org.au,Q.BIRD+F+R10,360.0,19449.0,17789.0,43409.991,6754.434,36078.361,-1409995.276,1477894.442,1194152.364,6566674.027,7381622.049,30549.25,32768.0,29962.0,498.863,385603.227,,8044568.469,8575774.412999999,-1410001.549,6.2730000000447035,4.4489312827306e-06
output_openacc_stable_bfgs_AA_Yeast_nc_OPENACC_taxa23_run1_tree_1_634530_iqtree3_AA_OPENACC_A100_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_rerun_OPENACC_run1_634530_aa_iqtree.log,AA,Yeast_nc,23,634530,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,Q.YEAST+I+R7,23.0,634530.0,390960.0,30645.544,1026.485,29422.327,-12794871.318,236553.387,322187.451,6824848.197,10026684.236,72498.812,81920.0,71496.0,695.973,2064034.527,,7061401.584,10348871.686999999,-12794856.401,-14.916999999433756,-1.165859118064654e-06
output_openacc_stable_bfgs_AA_Yeast_nc_OPENACC_taxa23_run1_tree_1_634530_iqtree3_AA_OPENACC_H200_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_OPENACC_run1_634530_aa_iqtree.log,AA,Yeast_nc,23,634530,openACC_H200,COMPLETE,gadi-gpu-h200-0024.gadi.nci.org.au,Q.YEAST+I+R8,23.0,634530.0,390960.0,9641.971,670.971,8826.552,-12794859.63,161734.821,314880.015,2288120.85,4255847.223,72372.688,143771.0,71498.0,715.188,1031781.785,,2449855.671,4570727.238,-12794856.401,-3.229000000283122,-2.52367037118975e-07
output_openacc_stable_bfgs_AA_Yeast_nc_OPENACC_taxa23_run1_tree_1_634530_iqtree3_AA_OPENACC_H200_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_nt12_OPENACC_run1_634530_aa_iqtree.log,AA,Yeast_nc,23,634530,openACC_H200_nt12,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,Q.YEAST+I+R8,23.0,634530.0,390960.0,12073.551,669.292,11223.714,-12794859.63,176096.446,310290.773,2933656.216,4237653.984,72384.688,143771.0,71510.0,736.742,1031781.754,,3109752.662,4547944.757,-12794856.401,-3.229000000283122,-2.52367037118975e-07
output_openacc_stable_bfgs_AA_Yeast_nc_OPENACC_taxa23_run1_tree_1_634530_iqtree3_AA_OPENACC_V100_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_rerun_OPENACC_run1_634530_aa_iqtree.log,AA,Yeast_nc,23,634530,openACC_V100,COMPLETE,gadi-gpu-v100-0158.gadi.nci.org.au,Q.YEAST+I+R9,23.0,634530.0,390960.0,64782.385,1802.371,62583.684,-12794853.458,252957.933,418015.621,9681107.624,15074726.296,29397.25,32768.0,28810.0,712.699,385600.195,,9934065.557,15492741.917,-12794856.401,2.9429999999701977,2.3001430479049247e-07
output_openacc_stable_bfgs_DNA_Birds_OPENACC_taxa200_run1_tree_1_394686_iqtree3_DNA_OPENACC_A100_Birds_200taxa_394686len_ninit2_optalg2BFGS_OPENACC_run1_394686_iqtree.log,DNA,Birds,200,394686,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+I+R9,200.0,394686.0,226490.0,10729.5,3328.785,6726.896,-9443186.436,833036.484,780557.768,1426489.193,2132460.077,73304.812,81920.0,72302.0,1286.633,2064034.527,,2259525.677,2913017.845,-9443211.36,24.9239999987185,2.639356363905266e-06
output_openacc_stable_bfgs_DNA_Birds_OPENACC_taxa200_run1_tree_1_394686_iqtree3_DNA_OPENACC_H200_Birds_200taxa_394686len_ninit2_optalg2BFGS_OPENACC_run1_394686_iqtree.log,DNA,Birds,200,394686,openACC_H200,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,GTR+F+R10,200.0,394686.0,226490.0,4308.185,1412.842,2595.876,-9443532.959,371177.035,530123.685,702735.713,1297154.903,73178.688,143771.0,72304.0,1304.117,1031781.754,,1073912.748,1827278.588,-9443211.36,-321.5990000013262,-3.405610525287726e-05
output_openacc_stable_bfgs_DNA_Birds_OPENACC_taxa200_run1_tree_1_394686_iqtree3_DNA_OPENACC_H200_Birds_200taxa_394686len_ninit2_optalg2BFGS_nt12_OPENACC_run1_394686_iqtree.log,DNA,Birds,200,394686,openACC_H200_nt12,COMPLETE,gadi-gpu-h200-0028.gadi.nci.org.au,GTR+F+R10,200.0,394686.0,226490.0,8907.427,1456.096,6769.13,-9443532.959,350014.072,527060.228,1629656.688,1651836.965,73178.688,143771.0,72304.0,1386.586,1031781.777,,1979670.76,2178897.193,-9443211.36,-321.5990000013262,-3.405610525287726e-05
output_openacc_stable_bfgs_DNA_Birds_OPENACC_taxa200_run1_tree_1_394686_iqtree3_DNA_OPENACC_V100_Birds_200taxa_394686len_ninit2_optalg2BFGS_OPENACC_run1_394686_iqtree.log,DNA,Birds,200,394686,openACC_V100,COMPLETE,gadi-gpu-v100-0036.gadi.nci.org.au,GTR+F+I+R9,200.0,394686.0,226490.0,19015.425,6343.03,12523.896,-9443450.324,1171586.543,1004652.338,2321880.086,2713006.731,29993.25,32768.0,29406.0,1301.699,385600.102,,3493466.629,3717659.069,-9443211.36,-238.96399999968708,-2.530537450553125e-05
output_openacc_stable_bfgs_DNA_Butterfly_OPENACC_taxa61_run1_tree_1_5267461_iqtree3_DNA_OPENACC_A100_Butterfly_61taxa_5267461len_ninit2_optalg2BFGS_rerun_OPENACC_run1_5267461_iqtree.log,DNA,Butterfly,61,5267461,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+I+R7,61.0,5267461.0,3762723.0,59051.641,5535.386,52892.618,-82918911.436,1272227.995,1784030.083,12377546.85,17745451.842,63804.812,81920.0,62802.0,6860.348,2064034.527,,13649774.844999999,19529481.925,-82918692.613,-218.82299999892712,-2.639006876534134e-06
output_openacc_stable_bfgs_DNA_Butterfly_OPENACC_taxa61_run1_tree_1_5267461_iqtree3_DNA_OPENACC_H200_Butterfly_61taxa_5267461len_ninit2_optalg2BFGS_rerun_OPENACC_run1_5267461_iqtree.log,DNA,Butterfly,61,5267461,openACC_H200,COMPLETE,gadi-gpu-h200-0026.gadi.nci.org.au,GTR+F+R10,61.0,5267461.0,3762723.0,35199.004,4260.585,29343.238,-82919390.511,1064407.928,2274906.278,7501858.114,15839694.258,132184.688,143771.0,131310.0,7089.441,1031781.781,,8566266.042,18114600.536,-82918692.613,-697.8980000019073,-8.41665465300029e-06
output_openacc_stable_bfgs_DNA_InsectsB_OPENACC_taxa48_run1_tree_1_2938039_iqtree3_DNA_OPENACC_A100_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_OPENACC_run1_2938039_iqtree.log,DNA,InsectsB,48,2938039,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+I+R7,48.0,2938039.0,1396402.0,14857.937,1840.44,12284.878,-26712408.739,426573.733,564789.21,2846485.855,3937669.438,69766.812,81920.0,68764.0,2257.895,2064034.527,,3273059.588,4502458.648,-26711761.899,-646.839999999851,-2.4215549780865132e-05
output_openacc_stable_bfgs_DNA_InsectsB_OPENACC_taxa48_run1_tree_1_2938039_iqtree3_DNA_OPENACC_A100_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_nt12_OPENACC_run1_2938039_iqtree.log,DNA,InsectsB,48,2938039,openACC_A100_nt12,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+I+R7,48.0,2938039.0,1396402.0,21968.875,1813.368,19054.595,-26712408.739,419365.03,563556.823,4451217.928,4355025.525,69766.812,81920.0,68764.0,2475.477,2064034.527,,4870582.958000001,4918582.348,-26711761.899,-646.839999999851,-2.4215549780865132e-05
output_openacc_stable_bfgs_DNA_InsectsB_OPENACC_taxa48_run1_tree_1_2938039_iqtree3_DNA_OPENACC_H200_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_OPENACC_run1_2938039_iqtree.log,DNA,InsectsB,48,2938039,openACC_H200,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,GTR+F+I+R6,48.0,2938039.0,1396402.0,4176.98,909.076,2918.815,-26712386.801,243259.854,423000.611,778068.534,1344982.58,108710.688,143771.0,107836.0,2277.012,1031781.746,,1021328.388,1767983.191,-26711761.899,-624.9019999988377,-2.3394263634187004e-05
output_openacc_stable_bfgs_DNA_InsectsB_OPENACC_taxa48_run1_tree_1_2938039_iqtree3_DNA_OPENACC_H200_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_nt12_OPENACC_run1_2938039_iqtree.log,DNA,InsectsB,48,2938039,openACC_H200_nt12,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,GTR+F+I+R6,48.0,2938039.0,1396402.0,5882.225,854.056,4491.778,-26712386.801,224414.036,415293.364,1185312.113,1413103.632,108714.688,143771.0,107840.0,2773.812,1031781.754,,1409726.149,1828396.996,-26711761.899,-624.9019999988377,-2.3394263634187004e-05
output_openacc_stable_bfgs_DNA_InsectsB_OPENACC_taxa48_run1_tree_1_2938039_iqtree3_DNA_OPENACC_V100_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_OPENACC_run1_2938039_iqtree.log,DNA,InsectsB,48,2938039,openACC_V100,COMPLETE,gadi-gpu-v100-0038.gadi.nci.org.au,GTR+F+I+R8,48.0,2938039.0,1396402.0,16508.293,5953.243,10346.823,-26712647.27,1171104.948,1067668.196,1851672.237,2086550.477,22779.25,32768.0,22192.0,2274.363,385603.227,,3022777.185,3154218.673,-26711761.899,-885.3709999993443,-3.314536133359626e-05
output_openacc_stable_bfgs_DNA_InsectsB_OPENACC_taxa48_run1_tree_1_2938039_iqtree3_DNA_OPENACC_V100_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_nt12_OPENACC_run1_2938039_iqtree.log,DNA,InsectsB,48,2938039,openACC_V100_nt12,COMPLETE,gadi-gpu-v100-0045.gadi.nci.org.au,GTR+F+I+R8,48.0,2938039.0,1396402.0,18602.664,5876.744,12482.13,-26712647.27,1279512.256,1116977.82,2383368.602,2364699.804,22781.25,32768.0,22194.0,2492.086,385603.262,,3662880.858,3481677.624,-26711761.899,-885.3709999993443,-3.314536133359626e-05
output_openacc_stable_bfgs_DNA_Lassa_Virus_OPENACC_taxa179_run1_tree_1_3226_iqtree3_DNA_OPENACC_A100_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_rerun_OPENACC_run1_3226_iqtree.log,DNA,Lassa_Virus,179,3226,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+R5,179.0,3186.0,1475.0,1082.241,784.282,293.935,-64172.344,176124.492,60215.478,66141.031,22895.151,1160.812,81920.0,158.0,178.746,2064034.527,,242265.523,83110.629,-64171.532,-0.8119999999980791,-1.2653586016897323e-05
output_openacc_stable_bfgs_DNA_Lassa_Virus_OPENACC_taxa179_run1_tree_1_3226_iqtree3_DNA_OPENACC_H200_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_rerun_OPENACC_run1_3226_iqtree.log,DNA,Lassa_Virus,179,3226,openACC_H200,COMPLETE,gadi-gpu-h200-0008.gadi.nci.org.au,GTR+R5,179.0,3186.0,1475.0,615.126,404.202,208.033,-64195.302,106320.876,48783.512,54761.988,25811.952,1068.688,143771.0,194.0,221.184,1031781.773,,161082.864,74595.464,-64171.532,-23.770000000004075,-0.00037041347244139465
