sm,reps,pct,wall_s,wall_std,mf_wall_s,ts_wall_s,cpu_J,gpu_J,total_J,mf_gpu_J,ts_gpu_J,mf_cpu_J,ts_cpu_J,gpu_W,cpu_W,measured_W,best_logL,gpu_mem_peak_MB,speedup,ts_speedup,efficiency,edp_Js,energy_Wh,gpu_Wh,cpu_Wh
1,1,0.7576,11229.209,,3235.11,7944.748,3177057.12,1646076.838,4823133.958000001,476699.463,1162010.423,974638.416,2188871.226,146.58885038118,282.92795334025755,146.6455351712135,-7541976.86,23816.75,1.0,1.0,1.0,18484140843.961143,1339.7594327777779,457.24356611111114,882.5158666666667
2,1,1.5152,11251.139,,3239.766,7961.889,4050343.403,1646575.856,5696919.259,476361.51,1162781.239,999108.441,3032501.463,146.3474814416567,359.9940773107505,146.40262065943503,-7541976.86,23816.75,0.9980508640058576,0.9978471189437581,0.4990254320029288,18525853829.899982,1582.4775719444444,457.3821822222222,1125.0953897222223
33,1,25.0,3227.099,,948.828,2262.604,1064365.237,642138.396,1706503.633,190473.465,448515.895,313113.154,745674.275,198.98317219273406,329.82106746647685,198.94718283058302,-7541976.86,23902.75,3.479660524824308,3.5113294239734394,0.10544425832800933,2072244175.593204,474.02878694444445,178.37177666666665,295.6570102777778
66,2,50.0,1827.273,2.2302147878623684,547.7815,1269.8615,475929.1985,466713.5305,942642.7289999999,140597.58049999998,323718.4055,141862.349,331294.88399999996,255.4153900575738,260.45993668937905,255.27238731506014,-7541976.86,24032.75,6.14533734149194,6.256389377896723,0.09311117184078697,852813033.0173265,261.84520249999997,129.6426473611111,132.2025551388889
132,3,100.0,1169.617,0.4867894822199739,360.7296666666666,802.0356666666667,312882.3383333333,374614.7893333333,687497.1276666666,114889.602,257736.98033333334,96494.83333333333,214290.41066666666,320.2884715819925,267.5082356614112,320.0658837453007,-7541976.86,24274.75,9.600757341933301,9.905729046962582,0.07273301016616138,438155826.0556853,190.97142435185185,104.0596637037037,86.91176064814815
